Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
grok-4-fast-reasoning,3,18,686.0,686.0,38.11,62.06999999999999,16.669999999999998,0,1,2,3,62.856125356125354,1
gpt-5,3,18,771.0,771.0,42.833333333333336,62.383333333333326,27.779999999999994,0,1,1,2,66.16059379217273,1
gpt-oss-120b_sp1,3,18,653.0,653.0,36.27666666666667,44.773333333333326,22.223333333333333,0,1,1,2,53.578122657070026,3
gpt-oss-20b-high,3,18,425.0,425.0,23.61,30.27333333333333,16.666666666666664,0,1,0,1,34.086819613135404,8
claude-sonnet-4.5,3,18,518.0,518.0,28.776666666666667,58.663333333333334,5.556666666666667,0,0,2,2,46.46873594242015,5
gemini-2.5-pro,3,18,692.0,692.0,38.446666666666665,60.12,22.223333333333333,0,1,0,1,55.049482681061626,2
gpt-oss-120b-high,3,18,611.0,611.0,33.946666666666665,49.723333333333336,27.779999999999994,0,1,0,1,47.85575048732943,3
gpt-oss-120b_sp2,3,18,568.0,568.0,31.556666666666665,41.263333333333335,22.223333333333333,0,1,0,1,47.76203328834908,8
gpt-oss-120b-medium,3,18,556.0,556.0,30.88666666666667,46.70666666666666,22.223333333333333,0,1,0,1,44.354475933423295,4
gpt-oss-120b_sp4,3,18,541.0,541.0,30.053333333333335,42.63000000000001,22.223333333333333,0,1,0,1,43.108037186984554,10
gpt-oss-20b-medium,3,18,534.0,534.0,29.663333333333338,42.68666666666667,22.223333333333333,0,1,0,1,44.27200479832059,6
seed-oss_-1,3,18,550.0,550.0,30.556666666666665,48.46,22.223333333333333,0,1,0,1,47.83325835957415,5
gpt-o3-mini-high,3,18,506.0,506.0,28.11,41.71000000000001,16.666666666666664,0,1,0,1,44.44257010046484,7
gpt-oss-120b_sp3,3,18,515.0,515.0,28.61,41.30333333333333,22.223333333333333,0,1,0,1,43.16801619433198,14
gemini-2.5-flash,3,18,408.0,408.0,22.666666666666668,45.46,5.556666666666667,0,0,1,1,33.623856650172435,10
seed-oss_16384,3,18,362.0,362.0,20.113333333333333,38.92666666666666,11.113333333333333,0,0,1,1,37.280701754385966,11
seed-oss_8192,3,18,490.0,490.0,27.223333333333333,36.163333333333334,22.223333333333333,0,0,1,1,42.44451941820363,9
gpt-oss-120b-low,3,18,311.0,311.0,17.276666666666667,31.986666666666668,11.110000000000001,0,0,1,1,26.501349527665315,12
Qwen3-32B,3,18,248.0,248.0,13.780000000000001,35.47333333333333,5.556666666666667,0,0,1,1,23.85477582846004,13
deepseek-reasoner,3,18,273.0,273.0,15.166666666666666,38.233333333333334,5.556666666666667,0,0,0,0,24.26900584795322,14
Qwen3-30B,3,18,191.0,191.0,10.613333333333335,29.24333333333334,5.556666666666667,0,0,0,0,18.153021442495128,15
gpt-4.1,3,18,178.0,178.0,9.886666666666668,32.30666666666666,0.0,0,0,0,0,14.659244264507423,16
gpt-oss-20b-low,3,18,79.0,79.0,4.39,18.299999999999997,0.0,0,0,0,0,8.91812865497076,18
OlympicCoder-7B,3,18,73.0,73.0,4.056666666666667,14.950000000000003,0.0,0,0,0,0,4.340980656770131,24
Qwen2.5-72B,3,18,52.0,52.0,2.8866666666666667,15.636666666666665,0.0,0,0,0,0,4.45906432748538,19
seed-oss_4096,3,18,51.0,51.0,2.8333333333333335,12.523333333333333,0.0,0,0,0,0,4.410331384015595,20
DeepSeek-R1-Distill-Llama-70B,3,18,51.0,51.0,2.8333333333333335,17.08,0.0,0,0,0,0,4.45906432748538,21
QwQ-32B,3,18,84.0,84.0,4.666666666666667,24.293333333333333,0.0,0,0,0,0,7.188109161793373,17
Qwen3-14B,3,18,46.0,46.0,2.5566666666666666,26.200000000000003,0.0,0,0,0,0,4.483430799220272,22
Llama-4-Scout,3,18,42.0,42.0,2.3333333333333335,12.156666666666666,0.0,0,0,0,0,4.02046783625731,23
Qwen3-4B,3,18,42.0,42.0,2.3333333333333335,12.743333333333334,0.0,0,0,0,0,2.631578947368421,24
Mistral-Large-Instruct-2411,3,18,39.0,39.0,2.1666666666666665,14.903333333333332,0.0,0,0,0,0,3.0701754385964914,25
Qwen2.5-Coder-14B-Instruct,3,18,38.0,38.0,2.1100000000000003,10.209999999999999,0.0,0,0,0,0,3.0945419103313836,26
Qwen2.5-Coder-32B-Instruct,3,18,36.0,36.0,2.0,13.693333333333332,0.0,0,0,0,0,3.0589293747188484,28
Qwen3-30B-Non-Thinking,3,18,32.0,32.0,1.7766666666666666,13.546666666666665,0.0,0,0,0,0,3.0945419103313836,29
Qwen3-8B,3,18,30.0,30.0,1.6666666666666667,18.103333333333335,0.0,0,0,0,0,2.631578947368421,31
DeepSeek-R1-Distill-Qwen-32B,3,18,37.0,37.0,2.0533333333333332,11.559999999999999,0.0,0,0,0,0,3.5331384015594547,27
OlympicCoder-32B,1,6,26.0,26.0,4.33,19.15,0.0,0,0,0,0,6.944444444444445,38
Qwen3-32B-Non-Thinking,3,18,22.0,22.0,1.2233333333333334,13.453333333333331,0.0,0,0,0,0,2.631578947368421,32
DeepSeek-R1-Distill-Qwen-14B,3,18,30.0,30.0,1.6666666666666667,11.456666666666665,0.0,0,0,0,0,2.631578947368421,30
Qwen3-4B-Non-Thinking,3,18,22.0,22.0,1.2233333333333334,7.056666666666667,0.0,0,0,0,0,2.631578947368421,33
Llama-3.3-70B-Instruct,3,18,21.0,21.0,1.1666666666666667,9.223333333333333,0.0,0,0,0,0,2.631578947368421,35
