Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Rounds Completed,Rounds,Avg Human Percentile,Competition Rank
gpt-oss-120b-high,6,32,343.0,343.0,58.63,72.93,65.62,4,0,0,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",96.35,11
gpt-5,6,32,404.0,404.0,71.75,73.64,68.75,4,1,0,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",91.0,1
grok-4-fast-reasoning,6,32,345.0,345.0,63.46,66.66,56.25,4,0,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",82.09,3
gpt-oss-120b-low,6,32,251.0,251.0,45.87,62.11,56.25,3,0,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.72,12
gpt-oss-120b-medium,6,32,343.0,343.0,61.88,64.69,59.37,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",88.66,2
gemini-2.5-pro,6,32,326.0,326.0,60.58,65.38,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.93,3
gpt-o3-mini-high,6,32,320.0,320.0,59.33,62.23,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",83.13,4
gpt-oss-120b_sp3,6,32,315.0,315.0,57.04,59.08,53.12,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.92,8
gpt-oss-20b-high,6,32,255.0,255.0,46.04,71.99,62.5,2,1,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.82,14
gpt-oss-120b_sp4,6,32,313.0,313.0,56.62,59.89,50.0,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.67,10
gpt-oss-120b_sp2,6,32,311.0,311.0,58.04,61.77,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",77.78,11
gemini-2.5-flash,6,32,292.0,292.0,54.08,58.28,50.0,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.82,5
claude-sonnet-4.5,6,32,266.0,266.0,50.0,57.83,46.88,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",74.3,13
gpt-oss-120b_sp1,6,32,302.0,302.0,56.0,59.65,53.12,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",71.82,14
