Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-5,2,11,436.0,436.0,39.63454545454545,58.789090909090916,25.757272727272728,0,0,1,1,58.48214285714286,1
gemini-2.5-pro,2,11,374.0,374.0,33.99818181818182,52.68909090909091,7.577272727272728,0,0,1,1,52.23214285714286,2
gpt-oss-120b-high,2,11,354.0,354.0,32.18,53.36363636363637,18.18,0,0,1,1,46.57738095238095,3
gpt-o3-mini-high,2,11,323.0,323.0,29.361818181818183,46.162727272727274,18.18,0,0,1,1,39.88095238095238,4
grok-4-fast-reasoning,2,11,320.0,320.0,29.08909090909091,53.487272727272725,18.183636363636364,0,0,1,1,46.42857142857143,5
gemini-2.5-flash,2,11,264.0,264.0,24.0,47.510909090909095,9.092727272727274,0,0,0,0,33.18452380952381,5
gpt-oss-120b_sp1,2,11,220.0,220.0,20.001818181818184,36.561818181818175,9.092727272727274,0,0,0,0,29.166666666666668,7
claude-sonnet-4.5,2,11,214.0,214.0,19.454545454545453,49.90727272727273,0.0,0,0,0,0,28.720238095238095,8
gpt-oss-120b-medium,2,11,195.0,195.0,17.725454545454543,33.59818181818182,9.092727272727274,0,0,0,0,26.041666666666664,6
gpt-oss-120b_sp2,2,11,188.0,188.0,17.09090909090909,35.10909090909091,9.092727272727274,0,0,0,0,20.535714285714285,10
gpt-oss-20b-high,2,11,175.0,175.0,15.910909090909092,37.40545454545454,9.092727272727274,0,0,0,0,16.666666666666668,7
gpt-oss-120b_sp4,2,11,170.0,170.0,15.456363636363637,31.631818181818183,9.092727272727274,0,0,0,0,16.666666666666668,12
gpt-oss-120b-low,2,11,155.0,155.0,14.089090909090908,28.90454545454546,9.092727272727274,0,0,0,0,12.5,8
Qwen3-32B-Non-Thinking,2,11,134.0,134.0,12.183636363636365,22.816363636363633,9.092727272727274,0,0,0,0,12.202380952380953,9
gpt-4.1,2,11,110.0,110.0,10.001818181818182,30.91545454545455,0.0,0,0,0,0,8.630952380952381,11
gpt-oss-120b_sp3,2,11,100.0,100.0,9.090909090909092,32.344545454545454,0.0,0,0,0,0,15.327380952380953,16
seed-oss_16384,2,11,74.0,74.0,6.725454545454546,24.348181818181818,0.0,0,0,0,0,1.7857142857142858,12
gpt-oss-20b-medium,2,11,70.0,70.0,6.363636363636363,24.55181818181818,0.0,0,0,0,0,5.9523809523809526,13
seed-oss_-1,2,11,68.0,68.0,6.181818181818182,33.85454545454545,0.0,0,0,0,0,6.25,14
seed-oss_2048,2,11,59.0,59.0,5.361818181818182,22.16090909090909,0.0,0,0,0,0,1.7857142857142858,15
seed-oss_8192,2,11,59.0,59.0,5.361818181818182,21.866363636363637,0.0,0,0,0,0,1.7857142857142858,16
gpt-oss-20b-low,2,11,46.0,46.0,4.183636363636364,17.555454545454545,0.0,0,0,0,0,0.0,17
deepseek-chat,2,11,43.0,43.0,3.909090909090909,23.52636363636364,0.0,0,0,0,0,4.166666666666667,18
deepseek-reasoner,2,11,40.0,40.0,3.6363636363636362,25.660909090909094,0.0,0,0,0,0,4.166666666666667,20
Qwen3-32B,2,11,40.0,40.0,3.6363636363636362,25.686363636363634,0.0,0,0,0,0,4.166666666666667,19
Qwen3-14B-Non-Thinking,2,11,30.0,30.0,2.727272727272727,15.974545454545455,0.0,0,0,0,0,0.0,21
Qwen3-30B,2,11,26.0,26.0,2.361818181818182,17.020909090909093,0.0,0,0,0,0,0.0,22
Qwen3-30B-Non-Thinking,2,11,24.0,24.0,2.1818181818181817,13.204545454545455,0.0,0,0,0,0,0.0,25
Qwen3-8B,2,11,22.0,22.0,2.001818181818182,20.49,0.0,0,0,0,0,0.0,26
Llama-3.3-70B-Instruct,2,11,20.0,20.0,1.8163636363636364,8.293636363636365,0.0,0,0,0,0,0.0,27
Qwen3-8B-Non-Thinking,2,11,20.0,20.0,1.8163636363636364,10.0,0.0,0,0,0,0,0.0,28
OpenCodeReasoning-Nemotron-32B-IOI,2,11,19.0,19.0,1.729090909090909,18.06818181818182,0.0,0,0,0,0,0.0,32
Qwen3-4B-Non-Thinking,2,11,17.0,17.0,1.5436363636363637,6.52090909090909,0.0,0,0,0,0,0.0,29
OlympicCoder-7B,2,11,16.0,16.0,1.4563636363636363,11.639090909090912,0.0,0,0,0,0,0.0,34
seed-oss_1024,2,11,26.0,26.0,2.3654545454545453,15.600000000000003,0.0,0,0,0,0,4.166666666666667,23
Qwen3-4B,2,11,16.0,16.0,1.4563636363636363,18.19363636363637,0.0,0,0,0,0,0.0,30
Codestral-22B-v0.1,2,11,16.0,16.0,1.4563636363636363,11.256363636363636,0.0,0,0,0,0,0.0,31
Qwen2.5-Coder-14B-Instruct,2,11,16.0,16.0,1.4563636363636363,11.516363636363634,0.0,0,0,0,0,0.0,32
Mistral-Large-Instruct-2411,2,11,13.0,13.0,1.1836363636363636,11.086363636363638,0.0,0,0,0,0,0.0,33
Qwen2.5-Coder-32B-Instruct,2,11,110.0,110.0,9.998181818181818,18.433636363636364,9.092727272727274,0,0,0,0,5.357142857142857,10
Qwen2.5-72B,2,11,10.0,10.0,0.9109090909090909,10.37909090909091,0.0,0,0,0,0,0.0,34
Mistral-Small-3.1-24B-2503,2,11,10.0,10.0,0.9109090909090909,9.72909090909091,0.0,0,0,0,0,0.0,35
QwQ-32B,2,11,25.0,25.0,2.272727272727273,17.219090909090912,0.0,0,0,0,0,4.166666666666667,24
Qwen3-14B,2,11,6.0,6.0,0.5454545454545454,11.758181818181814,0.0,0,0,0,0,0.0,37
seed-oss_4096,2,11,6.0,6.0,0.5454545454545454,7.979090909090908,0.0,0,0,0,0,0.0,38
DeepSeek-R1-Distill-Llama-70B,2,11,6.0,6.0,0.5454545454545454,13.084545454545458,0.0,0,0,0,0,0.0,40
DeepSeek-R1-Distill-Qwen-32B,2,11,6.0,6.0,0.5454545454545454,11.572727272727274,0.0,0,0,0,0,0.0,39
DeepSeek-R1-Distill-Qwen-7B,2,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,41
DeepSeek-R1-Distill-Qwen-14B,2,11,0.0,0.0,0.0,3.326363636363636,0.0,0,0,0,0,0.0,46
DeepSeek-R1-Distill-Llama-8B,2,11,0.0,0.0,0.0,1.0009090909090907,0.0,0,0,0,0,0.0,42
Qwen2.5-Coder-7B-Instruct,2,11,0.0,0.0,0.0,1.651818181818182,0.0,0,0,0,0,0.0,43
Llama-3.1-8B-Instruct,2,11,0.0,0.0,0.0,3.7218181818181817,0.0,0,0,0,0,0.0,45
Llama-4-Scout,2,11,0.0,0.0,0.0,3.12,0.0,0,0,0,0,0.0,44
seed-oss_512,2,11,10.0,10.0,0.9090909090909091,6.376363636363635,0.0,0,0,0,0,4.166666666666667,36
DeepSeek-Coder-V2-Lite-Instruct,2,11,0.0,0.0,0.0,4.270909090909091,0.0,0,0,0,0,0.0,47
seed-oss_0,2,11,0.0,0.0,0.0,8.904545454545456,0.0,0,0,0,0,0.0,48
