Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
grok-4-fast-reasoning,2,13,959.0,959.0,73.77,79.34307692307692,69.23307692307694,2,0,0,2,95.85924713584288,1
gpt-5,2,13,900.0,900.0,69.23230769230769,54.807692307692314,54.807692307692314,1,1,0,2,88.03191489361703,1
gpt-oss-120b-high,2,13,736.0,736.0,56.61846153846154,47.74153846153846,43.269230769230774,1,1,0,2,82.64729950900164,3
gpt-oss-120b_sp4,2,13,711.0,711.0,54.69384615384615,44.51076923076923,43.269230769230774,0,2,0,2,80.85242771412985,4
gpt-oss-120b_sp2,2,13,625.0,625.0,48.08,42.96923076923077,37.5,0,1,1,2,69.57037643207856,5
gemini-2.5-pro,2,13,800.0,800.0,61.54230769230769,57.29461538461539,44.230769230769226,1,1,0,2,82.69639934533552,2
gpt-o3-mini-high,2,13,706.0,706.0,54.309230769230766,50.92,37.5,0,1,1,2,74.31942171303874,4
gpt-oss-120b_sp3,2,13,662.0,562.0,43.23384615384615,48.65076923076923,37.5,0,1,0,1,61.62165848336061,8
gpt-oss-120b-medium,2,13,548.0,548.0,42.153076923076924,38.35153846153846,30.76923076923077,0,1,0,1,54.847244953627936,5
gpt-oss-20b-high,2,13,500.0,500.0,38.46153846153846,38.65384615384615,38.65384615384615,0,1,0,1,55.46781232951446,8
Qwen3-30B,2,13,387.0,387.0,29.76923076923077,36.65538461538462,20.192307692307693,0,1,0,1,42.220403709765414,9
gpt-oss-20b-medium,2,13,636.0,536.0,41.230000000000004,43.313076923076935,36.53846153846153,0,0,1,1,53.30878341516639,11
gpt-oss-120b_sp1,2,13,537.0,537.0,41.308461538461536,38.43923076923076,30.76923076923077,0,0,1,1,54.07801418439716,13
claude-sonnet-4.5,2,13,480.0,480.0,36.92230769230769,47.37615384615385,23.077692307692306,0,0,1,1,46.5671031096563,14
seed-oss_-1,2,13,461.0,461.0,35.45923076923077,35.61153846153846,25.0,0,0,1,1,46.05428259683579,12
gemini-2.5-flash,2,13,537.0,537.0,41.30692307692308,43.010000000000005,25.961538461538463,0,1,0,1,57.62411347517731,6
OpenCodeReasoning-Nemotron-32B-IOI,2,13,361.0,361.0,27.765384615384615,30.566923076923075,19.230769230769234,0,0,1,1,34.259410801963995,17
