Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-5,2,12,928.0,928.0,77.335,79.15,75.0,1,1,0,2,92.3136645962733,1
grok-4-fast-reasoning,2,12,836.0,836.0,69.67,74.23,58.32999999999999,1,1,0,2,90.6832298136646,2
gpt-oss-120b-high,2,12,819.0,819.0,68.25,71.56499999999998,66.67,1,1,0,2,87.17834960070985,2
gemini-2.5-pro,2,12,629.0,629.0,52.415,64.585,33.335,0,1,1,2,74.64507542147294,3
gpt-oss-20b-high,2,12,617.0,617.0,51.415,61.980000000000004,50.0,0,1,1,2,79.70275066548359,4
gpt-o3-mini-high,2,12,609.0,609.0,50.75,55.75500000000001,33.335,0,1,1,2,75.86512866015971,5
gpt-oss-120b_sp2,2,12,589.0,589.0,49.085,52.26500000000001,41.665,0,1,1,2,79.25909494232477,7
gpt-oss-120b-medium,2,12,592.0,592.0,49.335,53.370000000000005,41.665,0,0,2,2,73.72448979591837,6
gpt-oss-120b_sp4,2,12,572.0,572.0,47.665,53.74500000000001,33.335,0,0,2,2,71.55057675244011,9
gpt-oss-120b_sp1,2,12,516.0,516.0,43.0,48.120000000000005,33.335,0,0,2,2,69.47648624667258,10
gemini-2.5-flash,2,12,515.0,515.0,42.915,48.120000000000005,25.0,0,0,2,2,64.51863354037268,7
gpt-oss-120b_sp3,2,12,495.0,495.0,41.25,47.905,33.335,0,0,2,2,66.21561668145519,12
gpt-oss-20b-medium,2,12,479.0,479.0,39.919999999999995,44.795,35.0,0,0,2,2,63.49822537710736,8
seed-oss_-1,2,12,424.0,424.0,35.330000000000005,38.94499999999999,25.0,0,0,2,2,52.11845607808341,9
gpt-oss-120b-low,2,12,414.0,414.0,34.5,37.379999999999995,25.0,0,0,2,2,49.911268855368235,10
claude-sonnet-4.5,2,12,353.0,353.0,29.415000000000003,41.405,8.334999999999999,0,0,2,2,42.29148181011535,16
deepseek-reasoner,2,12,278.0,278.0,23.165000000000003,32.96999999999999,8.334999999999999,0,0,1,1,39.87355811889974,11
gpt-oss-20b-low,2,12,268.0,268.0,22.334999999999997,25.394999999999996,16.665,0,0,1,1,32.641969831410826,12
Qwen3-32B,2,12,259.0,259.0,21.584999999999997,33.18000000000001,8.334999999999999,0,0,1,1,36.06921029281278,13
seed-oss_8192,2,12,256.0,256.0,21.334999999999997,21.78,16.665,0,0,1,1,32.098491570541256,14
seed-oss_16384,2,12,92.0,92.0,7.665,9.605,0.0,0,0,1,1,16.20452528837622,16
Qwen3-14B,2,12,239.0,239.0,19.92,26.46,8.334999999999999,0,0,0,0,29.78039041703638,17
Qwen3-30B,2,12,226.0,226.0,18.83,27.885000000000005,8.334999999999999,0,0,0,0,27.639751552795033,18
Qwen3-4B,2,12,214.0,214.0,17.83,22.86,8.334999999999999,0,0,0,0,26.619343389529725,19
