Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gemini-2.5-pro,2,11,657.0,657.0,59.72727272727273,59.16636363636364,36.365454545454554,1,1,0,2,90.50294616633525,1
grok-4-fast-reasoning,2,11,592.0,592.0,53.81636363636364,54.65,36.365454545454554,1,0,1,2,83.96847693233852,2
claude-sonnet-4.5,2,11,479.0,479.0,43.54545454545455,50.117272727272734,27.27272727272727,1,0,1,2,74.2972070707992,3
gpt-5,2,11,551.0,551.0,50.092727272727274,46.852727272727265,36.36363636363637,1,1,0,2,92.50323804659139,2
gpt-oss-120b-high,2,11,424.0,424.0,38.54727272727273,42.376363636363635,18.18,0,2,0,2,88.23084079756279,6
gpt-oss-20b-medium,2,11,424.0,424.0,38.54363636363637,42.73636363636364,27.27272727272727,1,0,1,2,80.56898407428352,4
gpt-oss-120b_sp1,2,11,407.0,407.0,37.0,37.43636363636364,27.27272727272727,0,1,1,2,71.15675794005509,7
gpt-oss-120b_sp4,2,11,347.0,347.0,31.545454545454547,41.5490909090909,21.818181818181824,0,1,1,2,68.27717678822263,8
gpt-oss-120b_sp2,2,11,307.0,307.0,27.90727272727273,34.03818181818182,18.18,0,1,1,2,66.70649615995038,9
gpt-o3-mini-high,2,11,428.0,428.0,38.91090909090909,44.403636363636366,27.27272727272727,1,0,1,2,76.12693142638233,3
seed-oss_-1,2,11,421.0,421.0,38.27090909090909,39.37,18.18,1,0,1,2,77.34644362150428,5
gpt-oss-120b_sp3,2,11,395.0,395.0,35.90909090909091,41.76818181818182,32.72727272727272,0,1,0,1,66.62714121531641,12
gpt-oss-20b-high,2,11,393.0,393.0,35.72727272727273,39.027272727272724,27.27272727272727,0,1,1,2,76.90953536311729,7
gemini-2.5-flash,2,11,378.0,378.0,34.36545454545455,43.00272727272728,18.18,1,0,0,1,63.147381286827084,9
gpt-oss-120b-medium,2,11,376.0,376.0,34.18363636363636,36.16090909090909,18.18,0,1,1,2,74.3829468960359,8
gpt-oss-20b-low,2,11,345.0,345.0,31.363636363636363,35.57636363636364,27.27272727272727,0,1,0,1,58.09420435266432,10
Qwen3-14B,2,11,299.0,299.0,27.180000000000003,32.05636363636364,18.18,0,1,0,1,55.130707627195946,11
Qwen3-32B,2,11,296.0,296.0,26.90727272727273,30.230909090909098,18.18,0,1,0,1,57.047083933816154,12
seed-oss_8192,2,11,295.0,295.0,26.818181818181817,29.849090909090915,18.18,0,1,0,1,60.87983654705657,13
OpenCodeReasoning-Nemotron-32B-IOI,2,11,293.0,293.0,26.636363636363637,27.71090909090909,18.18,0,1,0,1,55.907838809128556,20
QwQ-32B,2,11,290.0,290.0,26.363636363636363,30.36454545454546,18.18,0,1,0,1,59.137676268310926,14
seed-oss_16384,2,11,290.0,290.0,26.363636363636363,26.156363636363633,18.18,0,1,0,1,59.137676268310926,15
deepseek-reasoner,2,11,285.0,285.0,25.90909090909091,29.860000000000003,18.18,0,1,0,1,57.047083933816154,16
gpt-4.1,2,11,271.0,271.0,24.634545454545457,29.512727272727275,18.18,0,1,0,1,54.78227557144682,17
OlympicCoder-7B,2,11,270.0,270.0,24.545454545454547,27.735454545454548,18.18,0,1,0,1,50.15870988926793,25
gpt-oss-120b-low,2,11,200.0,200.0,18.18,22.560000000000002,18.18,0,1,0,1,50.249010343506576,20
deepseek-chat,2,11,250.0,250.0,22.725454545454543,25.24545454545455,18.18,0,1,0,1,57.043435430614586,18
Qwen3-8B,2,11,221.0,221.0,20.08909090909091,28.658181818181816,9.092727272727274,0,1,0,1,53.036466789499606,19
DeepSeek-R1-Distill-Llama-70B,2,11,193.0,193.0,17.543636363636363,22.87363636363636,9.092727272727274,0,1,0,1,56.605615046427204,21
DeepSeek-R1-Distill-Qwen-32B,2,11,175.0,175.0,15.910909090909092,26.986363636363635,0.0,0,1,0,1,52.85860225842348,22
seed-oss_4096,2,11,165.0,165.0,14.998181818181818,13.87272727272727,9.092727272727274,0,1,0,1,51.37913421019027,23
seed-oss_1024,2,11,165.0,165.0,14.998181818181818,15.116363636363639,9.092727272727274,0,1,0,1,51.37913421019027,24
DeepSeek-R1-Distill-Qwen-14B,2,11,155.0,155.0,14.092727272727274,23.72363636363636,0.0,0,1,0,1,50.593793896054144,25
seed-oss_2048,2,11,153.0,153.0,13.907272727272726,14.26,9.092727272727274,0,1,0,1,50.50805407081745,26
Qwen3-4B,2,11,125.0,125.0,11.365454545454547,17.555454545454545,0.0,0,1,0,1,47.71421274422168,27
Qwen2.5-Coder-32B-Instruct,2,11,96.0,96.0,8.729090909090909,14.85090909090909,0.0,0,0,1,1,45.25968221537114,28
Qwen3-32B-Non-Thinking,2,11,90.0,90.0,8.183636363636364,14.832727272727276,0.0,0,0,1,1,43.16908988087637,29
Llama-3.3-70B-Instruct,2,11,66.0,66.0,6.0,15.650000000000002,0.0,0,0,1,1,39.16668186876334,30
Mistral-Small-3.1-24B-2503,2,11,65.0,65.0,5.91090909090909,9.893636363636366,0.0,0,0,1,1,38.81368918401226,31
Qwen3-30B-Non-Thinking,2,11,65.0,65.0,5.91090909090909,9.670909090909092,0.0,0,0,1,1,38.81368918401226,32
Qwen3-14B-Non-Thinking,2,11,0.0,0.0,0.0,2.8090909090909095,0.0,0,0,0,0,25.379900395862595,44
Qwen2.5-Coder-14B-Instruct,2,11,45.0,45.0,4.090909090909091,4.57909090909091,0.0,0,0,0,0,30.083733148475837,34
Qwen3-30B,2,11,45.0,45.0,4.090909090909091,3.5909090909090913,0.0,0,0,0,0,30.083733148475837,35
Qwen3-8B-Non-Thinking,2,11,45.0,45.0,4.092727272727273,12.158181818181818,0.0,0,0,1,1,36.548880821642925,33
Mistral-Large-Instruct-2411,2,11,34.0,34.0,3.090909090909091,9.403636363636364,0.0,0,0,0,0,28.341572869730193,36
Qwen2.5-72B,2,11,25.0,25.0,2.272727272727273,4.6454545454545455,0.0,0,0,0,0,27.8189247861065,37
Qwen3-4B-Non-Thinking,2,11,22.0,22.0,2.0,1.0654545454545454,0.0,0,0,0,0,27.8189247861065,38
Llama-4-Scout,2,11,20.0,20.0,1.8181818181818181,4.649090909090909,0.0,0,0,0,0,27.8189247861065,39
Llama-3.1-8B-Instruct,2,11,5.0,5.0,0.4527272727272727,8.213636363636361,0.0,0,0,0,0,25.903460605286682,40
seed-oss_0,2,11,3.0,3.0,0.2727272727272727,1.9763636363636365,0.0,0,0,0,0,25.55411642373716,41
Qwen2.5-Coder-7B-Instruct,2,11,3.0,3.0,0.2727272727272727,1.7490909090909093,0.0,0,0,0,0,25.55411642373716,42
seed-oss_512,2,11,1.0,1.0,0.09090909090909091,0.8409090909090909,0.0,0,0,0,0,25.55411642373716,43
DeepSeek-R1-Distill-Llama-8B,2,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25.379900395862595,45
Codestral-22B-v0.1,2,11,0.0,0.0,0.0,2.2545454545454544,0.0,0,0,0,0,25.379900395862595,46
DeepSeek-Coder-V2-Lite-Instruct,2,11,0.0,0.0,0.0,0.6927272727272727,0.0,0,0,0,0,25.379900395862595,47
DeepSeek-R1-Distill-Qwen-7B,1,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,36.12565445026178,48
