Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-5,7,42,2072.0,2072.0,49.334761904761905,64.69666666666666,36.90309523809524,0,4,3,7,78.05928566620143,1
gpt-oss-120b-high,7,42,1630.0,1630.0,38.81047619047619,52.26142857142856,29.564047619047617,0,1,5,6,57.86813841578468,2
gemini-2.5-pro,7,42,1425.0,1425.0,33.92928571428571,56.7952380952381,18.651666666666667,0,1,4,5,56.439749486675154,3
gpt-oss-120b_sp2,7,42,1184.0,1184.0,28.191190476190474,44.05309523809524,23.015714285714285,0,0,5,5,49.73571806722164,4
gpt-oss-120b_sp4,7,42,1413.0,1413.0,33.64404761904762,47.23428571428571,22.620714285714286,0,0,4,4,55.820947931504456,5
gpt-oss-120b-medium,7,42,1270.0,1270.0,30.23857142857143,40.317619047619054,24.80238095238095,0,0,4,4,47.188769122601265,4
gpt-oss-20b-high,7,42,1215.0,1215.0,28.927142857142858,45.18214285714286,26.685476190476194,0,0,4,4,56.71161950722786,5
gpt-oss-120b_sp1,7,42,1201.0,1201.0,28.594761904761906,42.98619047619047,22.620714285714286,0,0,4,4,49.797081435036624,8
grok-4-fast-reasoning,7,42,1265.0,1265.0,30.118809523809524,57.889523809523816,18.847857142857144,0,1,2,3,43.593954486584416,9
gpt-oss-120b_sp3,7,42,1187.0,1187.0,28.261904761904763,41.138333333333335,22.817380952380955,0,1,2,3,47.292352508006026,10
gpt-o3-mini-high,7,42,1186.0,1186.0,28.237380952380953,48.27428571428571,18.651666666666667,0,0,3,3,50.558664479185076,6
gemini-2.5-flash,7,42,1161.0,1161.0,27.64404761904762,47.330238095238094,14.086428571428572,0,0,3,3,48.09842857102363,7
seed-oss_-1,7,42,955.0,955.0,22.738333333333333,44.60619047619046,14.285714285714285,0,0,3,3,39.640774254892115,8
seed-oss_16384,7,42,945.0,945.0,22.501190476190477,39.93119047619047,16.26904761904762,0,0,3,3,40.26622792706831,9
gpt-oss-20b-medium,7,42,961.0,961.0,22.88190476190476,37.13309523809523,20.23761904761905,0,0,2,2,37.62255398256607,10
claude-sonnet-4.5,7,42,931.0,931.0,22.166428571428572,54.64833333333333,7.142857142857142,0,0,2,2,39.84746354350832,16
Qwen3-32B,6,37,516.0,516.0,13.945405405405406,28.24513513513514,8.108108108108109,0,0,1,1,32.36932100596891,14
seed-oss_8192,7,42,803.0,803.0,19.119999999999997,35.74880952380953,11.904761904761903,0,0,1,1,33.172156968940115,11
