Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-5,3,9,761.0,761.0,84.55666666666667,91.73000000000002,77.77666666666667,2,1,0,3,95.97701149425286,1
gemini-2.5-pro,3,9,695.0,695.0,77.22,85.46999999999998,66.66666666666666,2,1,0,3,93.98696174300909,2
gpt-oss-120b-high,3,9,695.0,695.0,77.22333333333333,86.31666666666668,66.66666666666666,2,1,0,3,93.98696174300909,3
grok-4-fast-reasoning,3,9,643.0,643.0,71.44333333333333,83.74999999999999,55.556666666666665,2,1,0,3,93.86659583063549,4
gpt-oss-120b_sp3,3,9,634.0,634.0,70.44333333333333,83.28333333333333,66.66666666666666,1,2,0,3,89.27774918510893,5
gpt-o3-mini-high,3,9,595.0,595.0,66.11,76.16333333333334,44.443333333333335,1,2,0,3,91.14134555254871,4
gemini-2.5-flash,3,9,584.0,584.0,64.89,79.82666666666667,55.556666666666665,1,2,0,3,89.80929612228071,5
gpt-oss-120b_sp1,3,9,531.0,531.0,59.0,65.69333333333334,44.443333333333335,1,2,0,3,85.61668852622317,8
gpt-oss-120b_sp2,3,9,591.0,591.0,65.66666666666667,73.90666666666667,55.556666666666665,1,1,1,3,86.32698576085092,9
gpt-oss-20b-high,3,9,576.0,576.0,64.0,64.81333333333335,55.55333333333334,1,1,1,3,82.66592510196514,6
gpt-oss-120b-medium,3,9,575.0,575.0,63.89,72.18,55.556666666666665,1,1,1,3,84.16759362254356,7
gpt-oss-120b_sp4,3,9,516.0,516.0,57.333333333333336,64.77,44.443333333333335,1,1,1,3,80.67587535072137,12
gpt-4.1,3,9,470.0,470.0,52.22333333333333,67.99333333333333,33.33333333333333,1,1,1,3,82.04777004853376,8
seed-oss_16384,3,9,429.0,429.0,47.663333333333334,54.576666666666675,44.443333333333335,1,0,2,3,74.0388712721155,9
claude-sonnet-4.5,3,9,548.0,548.0,60.88666666666667,76.82333333333334,44.443333333333335,0,3,0,3,86.62056790574381,15
seed-oss_-1,3,9,526.0,526.0,58.443333333333335,67.93666666666667,55.556666666666665,0,2,1,3,81.41411961327954,10
gpt-oss-20b-medium,3,9,427.0,427.0,47.443333333333335,52.50666666666667,44.443333333333335,0,1,2,3,73.19824680822803,11
seed-oss_8192,3,9,409.0,409.0,45.443333333333335,57.46,44.443333333333335,0,1,2,3,72.4348225502078,12
Qwen3-14B,3,9,404.0,404.0,44.89,63.949999999999996,33.33333333333333,0,1,2,3,72.01478702151091,13
gpt-oss-20b-low,3,9,400.0,400.0,44.443333333333335,52.00999999999999,44.443333333333335,0,1,2,3,69.561259331817,14
Qwen3-30B,3,9,380.0,380.0,42.22333333333333,58.81333333333334,33.33333333333333,0,1,2,3,69.45002462658897,15
seed-oss_4096,3,9,307.0,307.0,34.11,40.14333333333333,33.33,0,0,3,3,64.58613495370754,16
Qwen3-32B,3,9,411.0,411.0,45.666666666666664,65.80666666666667,33.33333333333333,1,1,0,2,71.5175512869468,17
deepseek-reasoner,3,9,439.0,439.0,48.78,62.22333333333334,44.443333333333335,1,0,1,2,67.33407489803486,18
OlympicCoder-7B,3,9,376.0,376.0,41.77666666666667,49.660000000000004,33.33333333333333,1,0,1,2,60.307749351130894,25
gpt-oss-120b-low,3,9,316.0,316.0,35.11333333333333,49.41666666666668,33.33333333333333,0,1,1,2,57.64697092955689,19
deepseek-chat,3,9,305.0,305.0,33.89,51.18333333333332,22.223333333333336,0,1,1,2,58.481231218767114,20
DeepSeek-R1-Distill-Llama-70B,3,9,322.0,322.0,35.77666666666667,51.83,22.220000000000002,0,0,2,2,64.04573351263703,21
QwQ-32B,3,9,322.0,322.0,35.78,55.68666666666666,22.220000000000002,0,0,2,2,58.79916324938157,22
Qwen3-8B,3,9,269.0,269.0,29.89,39.78666666666666,11.110000000000001,0,0,2,2,55.22111356454656,23
DeepSeek-R1-Distill-Qwen-32B,3,9,214.0,214.0,23.776666666666667,38.866666666666674,0.0,0,0,2,2,49.78278795123382,24
DeepSeek-R1-Distill-Qwen-14B,3,9,158.0,158.0,17.55333333333333,26.490000000000002,0.0,0,0,2,2,45.15077559920088,25
Qwen3-32B-Non-Thinking,3,9,160.0,160.0,17.776666666666667,35.82666666666667,0.0,0,0,1,1,45.56804409542942,26
Qwen2.5-72B,3,9,142.0,142.0,15.780000000000001,32.10333333333333,11.110000000000001,0,0,1,1,43.78524507606573,27
seed-oss_2048,3,9,135.0,135.0,15.0,27.603333333333328,11.110000000000001,0,0,1,1,43.45154096038163,28
Llama-3.3-70B-Instruct,3,9,135.0,135.0,14.996666666666666,35.446666666666665,0.0,0,0,1,1,43.949053398192575,29
Llama-4-Scout,3,9,130.0,130.0,14.446666666666667,29.78,11.110000000000001,0,0,1,1,42.06110714503124,30
Qwen3-4B,3,9,118.0,118.0,13.11,27.46,0.0,0,0,1,1,41.402276714314965,31
OpenCodeReasoning-Nemotron-32B-IOI,2,6,112.0,112.0,18.665,48.165,25.0,0,0,1,1,45.651055069480186,39
Mistral-Small-3.1-24B-2503,3,9,107.0,107.0,11.89,25.673333333333332,11.110000000000001,0,0,1,1,37.46340599560595,32
Qwen3-4B-Non-Thinking,3,9,100.0,100.0,11.11,15.339999999999998,11.110000000000001,0,0,1,1,36.965893557795006,33
seed-oss_512,3,9,91.0,91.0,10.11,27.053333333333327,0.0,0,0,1,1,36.622781531718495,34
Qwen3-14B-Non-Thinking,3,9,83.0,83.0,9.223333333333334,21.006666666666668,0.0,0,0,1,1,38.322016170537744,35
Qwen2.5-Coder-14B-Instruct,3,9,64.0,64.0,7.113333333333334,18.87,0.0,0,0,1,1,35.207444424152875,36
Mistral-Large-Instruct-2411,3,9,59.0,59.0,6.5566666666666675,23.356666666666673,0.0,0,0,1,1,33.48330649311839,37
seed-oss_1024,3,9,60.0,60.0,6.666666666666667,23.316666666666666,0.0,0,0,0,0,34.34191666805018,38
Qwen3-8B-Non-Thinking,3,9,44.0,44.0,4.89,11.636666666666667,0.0,0,0,0,0,30.49823186625272,39
DeepSeek-Coder-V2-Lite-Instruct,3,9,37.0,37.0,4.11,5.576666666666666,0.0,0,0,0,0,29.50320699063083,40
Codestral-22B-v0.1,3,9,29.0,29.0,3.223333333333333,13.763333333333334,0.0,0,0,0,0,29.00569455281988,41
Qwen3-30B-Non-Thinking,3,9,28.0,28.0,3.1100000000000003,11.360000000000001,0.0,0,0,0,0,27.033630512620434,42
Llama-3.1-8B-Instruct,3,9,24.0,24.0,2.6666666666666665,7.919999999999999,0.0,0,0,0,0,29.00569455281988,43
Qwen2.5-Coder-32B-Instruct,3,9,16.0,16.0,1.7766666666666666,16.373333333333335,0.0,0,0,0,0,27.513157239387045,44
