Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
gpt-5,4,32,2566.0,2513.0,78.5334375,84.29124999999999,61.633437500000014,4,0,0,4,95.25148251688766,1
gpt-oss-120b-high,4,32,2564.0,2511.0,78.4690625,82.0234375,65.1059375,3,1,0,4,94.63254322034231,2
grok-4-fast-reasoning,4,32,1990.0,1990.0,62.1871875,74.2859375,41.964375,1,1,1,3,77.35580510022221,3
gpt-oss-120b_sp1,4,32,1964.0,1911.0,59.72,63.88625,47.4825,1,1,1,3,72.3080287012487,4
gpt-oss-120b-medium,4,32,2081.0,2028.0,63.3746875,69.8496875,50.262499999999996,1,2,0,3,78.27420235987881,3
gpt-oss-120b_sp2,4,32,1969.0,1916.0,59.87375,63.881875,50.609687500000014,0,2,1,3,71.96692380871397,6
gemini-2.5-pro,4,32,2039.0,2003.0,62.59375,72.7690625,37.76,1,1,1,3,76.47184799189198,4
gpt-oss-20b-medium,4,32,1926.0,1873.0,58.5296875,61.55468750000001,47.485,0,3,0,3,70.48531246252861,5
gpt-o3-mini-high,4,32,1944.0,1891.0,59.0928125,67.74031249999999,47.8296875,0,2,1,3,70.89489468718052,6
gpt-oss-120b_sp4,4,32,1729.0,1676.0,52.3721875,59.51562499999999,38.411874999999995,0,1,2,3,64.82706358160723,10
gpt-oss-20b-high,4,32,1953.0,1900.0,59.3746875,72.08218749999999,57.96062500000001,0,1,2,3,72.96458920217088,7
seed-oss_16384,4,32,1860.0,1807.0,56.4709375,62.951875,40.885312500000005,1,0,1,2,63.85640041288664,8
gpt-oss-120b_sp3,4,32,1877.0,1824.0,56.999375,61.9996875,44.36,0,1,1,2,67.58935229234885,13
seed-oss_-1,4,32,1793.0,1757.0,54.9071875,62.3996875,38.845625,0,2,0,2,64.23162088725681,9
gemini-2.5-flash,4,32,1701.0,1665.0,52.03,63.973437499999996,29.4253125,0,2,0,2,57.85928321800648,10
gpt-oss-120b-low,4,32,1678.0,1625.0,50.781875,58.134687500000005,39.1928125,0,1,1,2,57.30272451568689,11
Qwen3-32B,4,32,1488.0,1435.0,44.845,54.50125,21.179062499999997,0,0,2,2,47.6214277006188,12
Qwen3-14B,4,32,1390.0,1337.0,41.7821875,52.835,27.428749999999997,0,0,2,2,46.53104960798822,14
deepseek-reasoner,4,32,1459.0,1406.0,43.9371875,54.633750000000006,24.304062499999997,0,0,2,2,48.184263843139355,13
Qwen3-30B,4,32,1309.0,1256.0,39.2484375,52.4071875,24.304062499999997,0,0,2,2,43.25350107489505,16
gpt-oss-20b-low,4,32,1379.0,1326.0,41.439375,49.4228125,30.553749999999997,0,0,2,2,46.87455956216366,15
seed-oss_8192,4,32,1304.0,1268.0,39.62625,48.0240625,20.8315625,0,0,2,2,39.00854055673422,17
claude-sonnet-4.5,4,32,1237.0,1237.0,38.658125,61.4759375,15.624062499999999,0,0,2,2,43.44577724981107,23
Qwen3-8B,4,32,1274.0,1221.0,38.15375,51.32125,24.304062499999997,0,0,2,2,41.5702816878369,19
OpenCodeReasoning-Nemotron-32B-IOI,4,32,1186.0,1133.0,35.4034375,44.82843749999999,24.304062499999997,0,0,2,2,42.02116957977509,25
Qwen3-4B,4,32,978.0,925.0,28.905625,44.2621875,18.401562499999997,0,0,2,2,33.532241954714785,21
deepseek-chat,4,32,934.0,898.0,28.0609375,42.0140625,12.152187499999998,0,0,2,2,33.0303007580167,22
seed-oss_4096,4,32,876.0,844.0,26.373124999999998,34.5659375,15.624374999999999,0,0,2,2,31.1494945286516,24
DeepSeek-R1-Distill-Llama-70B,4,32,1126.0,1073.0,33.5315625,48.38625,18.401874999999997,0,0,2,2,39.82435743770252,20
gpt-4.1,4,32,967.0,931.0,29.0946875,40.581562500000004,12.152187499999998,0,0,1,1,34.57883026066398,25
OlympicCoder-7B,4,32,839.0,786.0,24.560625,35.0971875,15.276874999999999,0,0,1,1,30.963403174895575,31
QwQ-32B,4,32,1291.0,1238.0,38.686875,48.539375,27.428749999999997,0,0,2,2,45.73619533362501,18
Qwen2.5-Coder-14B-Instruct,4,32,814.0,778.0,24.3125,33.919062499999995,15.276874999999999,0,0,1,1,30.09468583991866,27
DeepSeek-R1-Distill-Qwen-32B,4,32,897.0,861.0,26.9059375,37.760937500000004,12.151562499999999,0,0,2,2,31.176136079704165,23
seed-oss_1024,4,32,589.0,571.0,17.8453125,23.3578125,12.499374999999999,0,0,1,1,25.35218578137229,28
Qwen3-8B-Non-Thinking,4,32,438.0,402.0,12.5625,19.3865625,6.249375,0,0,1,1,19.352389226285958,29
Llama-3.3-70B-Instruct,4,32,796.0,760.0,23.752187499999998,35.5375,15.276874999999999,0,0,0,0,30.89571203898182,30
Qwen3-32B-Non-Thinking,4,32,700.0,647.0,20.216875,29.935625000000005,12.152187499999998,0,0,0,0,28.921652960827753,32
Mistral-Small-3.1-24B-2503,4,32,652.0,616.0,19.2503125,27.835937500000004,9.027187499999998,0,0,0,0,26.496813403421854,33
Qwen2.5-72B,4,32,607.0,589.0,18.405625,26.2825,6.249687499999999,0,0,0,0,27.38504292877593,34
Codestral-22B-v0.1,4,32,607.0,589.0,18.40625,22.1084375,11.761562499999998,0,0,0,0,26.484343673148558,35
Mistral-Large-Instruct-2411,4,32,596.0,588.0,18.375,28.1153125,9.374687499999999,0,0,0,0,25.598677769336454,36
DeepSeek-R1-Distill-Qwen-14B,4,32,826.0,790.0,24.688125,30.899062499999996,18.054062499999997,0,0,1,1,31.084248774586232,26
Qwen3-30B-Non-Thinking,4,32,580.0,544.0,16.998125,24.221562499999997,9.027187499999998,0,0,0,0,24.330712030133654,37
seed-oss_0,4,32,556.0,522.0,16.3096875,24.134375,9.027187499999998,0,0,0,0,24.074621791486088,38
Qwen2.5-Coder-32B-Instruct,4,32,743.0,725.0,22.65625,32.3975,9.027187499999998,0,0,0,0,30.29275895333702,31
Qwen3-14B-Non-Thinking,4,32,550.0,497.0,15.5290625,25.505,12.151874999999999,0,0,0,0,24.227187487650404,39
Llama-4-Scout,4,32,501.0,501.0,15.655312499999999,20.399687499999995,9.026874999999999,0,0,0,0,23.395189916984513,40
seed-oss_2048,4,32,496.0,460.0,14.376562499999999,24.194687499999997,6.249687499999999,0,0,0,0,22.5681817367387,41
Qwen3-4B-Non-Thinking,4,32,432.0,396.0,12.375,21.2534375,6.249687499999999,0,0,0,0,22.1063074216731,42
DeepSeek-Coder-V2-Lite-Instruct,4,32,405.0,387.0,12.092812499999999,19.4475,2.7775,0,0,0,0,21.312987889708776,43
Llama-3.1-8B-Instruct,4,32,393.0,360.0,11.2496875,14.565,3.1246875,0,0,0,0,18.951264945362922,44
Qwen2.5-Coder-7B-Instruct,4,32,299.0,299.0,9.3434375,13.286562499999999,6.249687499999999,0,0,0,0,16.512762394652114,45
seed-oss_512,4,32,274.0,266.0,8.3121875,15.3846875,3.1246875,0,0,0,0,18.108195838820762,46
DeepSeek-R1-Distill-Llama-8B,4,32,130.0,130.0,4.0621875,4.5665625,3.1246875,0,0,0,0,15.245533268195306,47
DeepSeek-R1-Distill-Qwen-7B,2,16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7.271095152603231,48
