Model,Contest Count,Total Tasks,Total Score,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Rank
gpt-oss-120b-high,22,132,31989.0,92,18,69.7,63.91,10,8,1,19,2
gpt-5,22,132,35966.0,100,25,75.76,72.0,11,8,1,20,1
grok-4-fast-reasoning,22,132,29825.0,77,33,58.33,57.99,9,8,3,20,3
gpt-oss-20b-high,22,132,29543.0,85,16,64.39,54.19,3,9,6,18,3
gpt-oss-120b_sp1,22,132,28300.0,76,32,57.58,51.55,3,8,6,17,5
gpt-oss-120b-medium,22,132,28794.0,78,30,59.09,52.04,6,7,3,16,4
gpt-oss-120b_sp3,22,132,27775.0,74,36,56.06,50.21,4,7,5,16,7
gpt-oss-120b_sp4,22,132,28449.0,78,28,59.09,51.02,5,6,4,15,8
gpt-oss-120b_sp2,22,132,28586.0,78,28,59.09,51.31,4,4,7,15,9
seed-oss_-1,22,132,25908.0,69,38,52.27,45.85,3,5,7,15,5
gemini-2.5-pro,22,132,27127.0,70,39,53.03,47.69,5,3,5,13,7
gpt-oss-20b-medium,22,132,25048.0,67,29,50.76,43.24,3,5,6,14,6
gpt-o3-mini-high,22,132,27757.0,71,44,53.79,48.61,4,6,3,13,8
claude-sonnet-4.5,22,132,21066.0,40,81,30.3,38.67,0,4,9,13,14
gpt-oss-120b-low,22,132,19076.0,48,27,36.36,32.44,1,3,6,10,12
gemini-2.5-flash,22,132,23508.0,58,48,43.94,38.58,0,3,8,11,9
deepseek-reasoner,22,132,20082.0,48,45,36.36,35.14,0,3,8,11,10
Qwen3-32B,22,132,18864.0,44,52,33.33,32.57,0,1,10,11,11
seed-oss_16384,22,132,16516.0,40,32,30.3,28.1,2,3,4,9,13
seed-oss_8192,22,132,19314.0,47,44,35.61,32.46,1,4,4,9,14
OpenCodeReasoning-Nemotron-32B-IOI,22,132,17738.0,40,41,30.3,29.45,0,1,8,9,21
Qwen3-14B,22,132,14969.0,30,52,22.73,25.34,0,1,7,8,15
gpt-oss-20b-low,22,132,15765.0,38,40,28.79,24.68,0,2,4,6,16
Qwen3-30B,22,132,14518.0,29,53,21.97,24.94,0,2,4,6,17
QwQ-32B,22,132,15481.0,35,43,26.52,25.19,0,1,5,6,18
Qwen3-8B,22,132,13388.0,26,49,19.7,23.28,0,1,5,6,19
DeepSeek-R1-Distill-Qwen-32B,22,132,11985.0,23,44,17.42,19.62,0,0,6,6,20
DeepSeek-R1-Distill-Llama-70B,22,132,10701.0,21,43,15.91,18.17,0,1,2,3,24
seed-oss_4096,22,132,11631.0,28,25,21.21,17.71,0,1,3,4,22
gpt-4.1,22,132,12197.0,20,66,15.15,21.09,0,0,5,5,21
Qwen3-4B,22,132,9119.0,17,41,12.88,14.81,0,0,3,3,25
deepseek-chat,22,132,11593.0,21,50,15.91,19.8,0,1,2,3,23
seed-oss_512,22,132,5839.0,11,31,8.33,9.03,1,0,1,2,26
OlympicCoder-7B,22,132,8185.0,15,41,11.36,12.82,0,0,2,2,34
seed-oss_2048,22,132,8096.0,17,32,12.88,12.58,0,0,2,2,27
seed-oss_1024,22,132,6572.0,14,27,10.61,10.09,0,0,2,2,28
Qwen3-30B-Non-Thinking,22,132,6087.0,8,42,6.06,9.71,0,0,1,1,29
Llama-4-Scout,22,132,4853.0,4,49,3.03,7.65,0,0,1,1,30
seed-oss_0,22,132,3093.0,4,29,3.03,4.91,0,0,1,1,31
DeepSeek-R1-Distill-Qwen-14B,22,132,7037.0,13,29,9.85,10.94,0,0,0,0,32
Qwen3-32B-Non-Thinking,22,132,2381.0,4,12,3.03,3.79,0,0,0,0,40
Qwen3-14B-Non-Thinking,22,132,2861.0,3,29,2.27,4.76,0,0,0,0,38
Qwen2.5-Coder-32B-Instruct,22,132,4578.0,4,39,3.03,7.13,0,0,0,0,33
Llama-3.3-70B-Instruct,22,132,4259.0,3,45,2.27,6.83,0,0,0,0,34
Mistral-Large-Instruct-2411,22,132,3875.0,3,39,2.27,6.5,0,0,0,0,35
Qwen3-8B-Non-Thinking,22,132,499.0,0,5,0.0,0.76,0,0,0,0,47
Qwen2.5-Coder-14B-Instruct,22,132,3376.0,1,42,0.76,5.35,0,0,0,0,36
Qwen2.5-72B,22,132,3224.0,2,38,1.52,5.17,0,0,0,0,37
Qwen3-4B-Non-Thinking,22,132,2525.0,3,21,2.27,3.83,0,0,0,0,39
Qwen2.5-Coder-7B-Instruct,22,132,1908.0,1,27,0.76,3.07,0,0,0,0,41
Mistral-Small-3.1-24B-2503,22,132,1788.0,0,25,0.0,2.76,0,0,0,0,42
DeepSeek-Coder-V2-Lite-Instruct,22,132,1488.0,0,27,0.0,2.31,0,0,0,0,43
Codestral-22B-v0.1,22,132,1375.0,0,20,0.0,2.14,0,0,0,0,44
DeepSeek-R1-Distill-Llama-8B,22,132,921.0,1,5,0.76,1.4,0,0,0,0,45
Llama-3.1-8B-Instruct,22,132,591.0,0,14,0.0,1.18,0,0,0,0,46
DeepSeek-R1-Distill-Qwen-7B,12,72,18.0,0,0,0.0,0.05,0,0,0,0,48
