Model,Contest Count,Total Tasks,Total Score,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Rank
gpt-oss-120b-high,11,33,5076.0,12,13,36.36,46.19,3,5,1,9,1
gpt-5,11,33,5753.0,12,17,36.36,52.35,2,7,0,9,2
grok-4-fast-reasoning,11,33,4204.0,7,20,21.21,38.26,0,7,2,9,3
gpt-oss-20b-high,11,33,3092.0,8,10,24.24,28.14,0,4,3,7,3
gpt-oss-120b_sp1,11,33,2846.0,5,17,15.15,25.9,0,3,3,6,5
gpt-oss-120b-medium,11,33,2759.0,5,14,15.15,25.11,1,2,2,5,4
gpt-oss-120b_sp3,11,33,2664.0,4,20,12.12,24.24,0,4,1,5,7
seed-oss_-1,11,33,2161.0,2,20,6.06,19.67,0,3,1,4,5
gpt-oss-120b_sp4,11,33,2594.0,4,16,12.12,23.61,0,2,2,4,9
gpt-oss-120b_sp2,11,33,2622.0,4,15,12.12,23.86,0,1,3,4,10
claude-sonnet-4.5,11,33,2216.0,0,28,0.0,20.17,0,1,3,4,11
gemini-2.5-pro,11,33,2160.0,1,22,3.03,19.66,1,0,1,2,8
gpt-oss-20b-medium,11,33,1731.0,2,12,6.06,15.75,0,2,1,3,6
deepseek-reasoner,11,33,1545.0,1,16,3.03,14.06,0,2,1,3,7
gpt-o3-mini-high,11,33,2146.0,1,23,3.03,19.53,0,2,0,2,9
gpt-oss-120b-low,11,33,1155.0,1,8,3.03,10.51,0,0,2,2,10
seed-oss_8192,11,33,1044.0,1,16,3.03,9.5,0,1,0,1,11
seed-oss_16384,11,33,1007.0,0,13,0.0,9.16,0,1,0,1,12
Qwen3-32B,11,33,1306.0,0,18,0.0,11.88,0,0,1,1,13
gemini-2.5-flash,11,33,964.0,0,19,0.0,8.77,0,0,1,1,15
Qwen3-8B,11,33,982.0,0,11,0.0,8.94,0,0,1,1,14
DeepSeek-R1-Distill-Llama-70B,11,33,639.0,0,11,0.0,5.81,0,0,1,1,17
Qwen3-30B,11,33,962.0,0,14,0.0,8.75,0,0,0,0,18
gpt-4.1,11,33,853.0,0,18,0.0,7.76,0,0,1,1,16
Qwen3-14B,11,33,868.0,0,15,0.0,7.9,0,0,0,0,19
OpenCodeReasoning-Nemotron-32B-IOI,11,33,840.0,0,11,0.0,7.64,0,0,0,0,26
deepseek-chat,11,33,730.0,0,11,0.0,6.64,0,0,0,0,20
QwQ-32B,11,33,565.0,0,11,0.0,5.14,0,0,0,0,21
DeepSeek-R1-Distill-Qwen-32B,11,33,475.0,0,6,0.0,4.32,0,0,0,0,22
Qwen3-4B,11,33,324.0,0,7,0.0,2.95,0,0,0,0,23
gpt-oss-20b-low,11,33,253.0,0,8,0.0,2.3,0,0,0,0,24
Mistral-Large-Instruct-2411,11,33,206.0,0,7,0.0,1.87,0,0,0,0,25
Qwen3-32B-Non-Thinking,11,33,59.0,0,2,0.0,0.54,0,0,0,0,38
Qwen3-30B-Non-Thinking,11,33,156.0,0,6,0.0,1.42,0,0,0,0,26
Qwen3-14B-Non-Thinking,11,33,139.0,0,4,0.0,1.26,0,0,0,0,27
OlympicCoder-7B,11,33,133.0,0,4,0.0,1.21,0,0,0,0,36
Llama-3.3-70B-Instruct,11,33,122.0,0,6,0.0,1.11,0,0,0,0,28
seed-oss_2048,11,33,100.0,0,4,0.0,0.91,0,0,0,0,29
Llama-4-Scout,11,33,96.0,0,5,0.0,0.87,0,0,0,0,30
Qwen2.5-72B,11,33,93.0,0,4,0.0,0.85,0,0,0,0,31
Llama-3.1-8B-Instruct,11,33,92.0,0,2,0.0,0.84,0,0,0,0,32
DeepSeek-R1-Distill-Qwen-14B,11,33,88.0,0,4,0.0,0.8,0,0,0,0,33
Qwen2.5-Coder-14B-Instruct,11,33,76.0,0,3,0.0,0.69,0,0,0,0,34
seed-oss_0,11,33,71.0,0,3,0.0,0.65,0,0,0,0,35
Qwen2.5-Coder-32B-Instruct,11,33,62.0,0,3,0.0,0.56,0,0,0,0,36
Qwen2.5-Coder-7B-Instruct,11,33,59.0,0,2,0.0,0.54,0,0,0,0,37
seed-oss_512,11,33,58.0,0,3,0.0,0.53,0,0,0,0,39
seed-oss_1024,11,33,41.0,0,2,0.0,0.37,0,0,0,0,40
seed-oss_4096,11,33,24.0,0,1,0.0,0.22,0,0,0,0,41
Mistral-Small-3.1-24B-2503,11,33,17.0,0,1,0.0,0.15,0,0,0,0,42
DeepSeek-Coder-V2-Lite-Instruct,11,33,17.0,0,1,0.0,0.15,0,0,0,0,43
Codestral-22B-v0.1,11,33,17.0,0,1,0.0,0.15,0,0,0,0,44
Qwen3-8B-Non-Thinking,11,33,0.0,0,0,0.0,0.0,0,0,0,0,45
Qwen3-4B-Non-Thinking,11,33,0.0,0,0,0.0,0.0,0,0,0,0,46
DeepSeek-R1-Distill-Qwen-7B,6,18,0.0,0,0,0.0,0.0,0,0,0,0,47
DeepSeek-R1-Distill-Llama-8B,11,33,0.0,0,0,0.0,0.0,0,0,0,0,48
