Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,390.0,6,390.0,71.26,50.0,Silver,8,90.78947368421052,1,65.0
gpt-5,375.0,6,375.0,74.06,50.0,Silver,8,90.78947368421052,2,62.5
gpt-oss-120b-high,375.0,6,375.0,73.06,50.0,Silver,8,90.78947368421052,3,62.5
gpt-oss-120b-medium,356.0,6,356.0,65.67,50.0,Silver,9,89.47368421052632,4,59.33
gpt-oss-120b_sp1,356.0,6,356.0,65.67,50.0,Silver,9,89.47368421052632,5,59.33
gpt-oss-120b_sp4,356.0,6,356.0,66.89,50.0,Silver,9,89.47368421052632,6,59.33
gpt-oss-120b_sp2,336.0,6,336.0,61.59,50.0,Silver,10,88.15789473684211,7,56.0
gpt-oss-120b_sp3,336.0,6,336.0,60.6,50.0,Silver,10,88.15789473684211,8,56.0
seed-oss_-1,336.0,6,336.0,60.72,50.0,Silver,10,88.15789473684211,5,56.0
gpt-oss-20b-high,332.0,6,332.0,61.94,50.0,Silver,10,88.15789473684211,6,55.33
gpt-oss-20b-medium,332.0,6,332.0,59.38,50.0,Silver,10,88.15789473684211,7,55.33
gpt-o3-mini-high,282.0,6,282.0,57.42,33.33,Silver,17,78.94736842105263,8,47.0
grok-4-fast-reasoning,266.0,6,266.0,67.41,16.67,Silver,20,75.0,13,44.33
gpt-oss-120b-low,232.0,6,232.0,47.95,33.33,Bronze,29,63.1578947368421,9,38.67
gemini-2.5-flash,229.0,6,229.0,59.43,16.67,Bronze,29,63.1578947368421,10,38.17
seed-oss_8192,226.0,6,226.0,41.82,33.33,Bronze,30,61.8421052631579,11,37.67
claude-sonnet-4.5,213.0,6,213.0,61.07,0.0,Bronze,30,61.8421052631579,17,35.5
Qwen3-32B,208.0,6,208.0,54.03,16.67,Bronze,30,61.8421052631579,12,34.67
seed-oss_16384,193.0,6,193.0,44.32,16.67,Bronze,30,61.8421052631579,13,32.17
Qwen3-30B,142.0,6,142.0,36.99,16.67,None,43,44.73684210526316,14,23.67
deepseek-reasoner,113.0,6,113.0,40.39,0.0,None,47,39.473684210526315,15,18.83
gpt-4.1,84.0,6,84.0,47.32,0.0,None,56,27.63157894736842,16,14.0
gpt-oss-20b-low,51.0,6,51.0,26.33,0.0,None,63,18.42105263157895,17,8.5
QwQ-32B,47.0,6,47.0,28.86,0.0,None,68,11.842105263157896,18,7.83
seed-oss_4096,40.0,6,40.0,16.29,0.0,None,68,11.842105263157896,19,6.67
DeepSeek-R1-Distill-Llama-70B,32.0,6,32.0,24.96,0.0,None,70,9.210526315789474,20,5.33
Qwen2.5-72B,32.0,6,32.0,22.28,0.0,None,70,9.210526315789474,21,5.33
Mistral-Large-Instruct-2411,30.0,6,30.0,29.48,0.0,None,70,9.210526315789474,22,5.0
DeepSeek-R1-Distill-Qwen-32B,26.0,6,26.0,16.4,0.0,None,70,9.210526315789474,23,4.33
Llama-4-Scout,22.0,6,22.0,16.6,0.0,None,71,7.894736842105263,24,3.67
Qwen3-32B-Non-Thinking,22.0,6,22.0,24.79,0.0,None,71,7.894736842105263,25,3.67
Qwen2.5-Coder-32B-Instruct,22.0,6,22.0,24.87,0.0,None,71,7.894736842105263,26,3.67
DeepSeek-R1-Distill-Qwen-14B,22.0,6,22.0,20.08,0.0,None,71,7.894736842105263,28,3.67
Qwen3-4B-Non-Thinking,22.0,6,22.0,15.02,0.0,None,71,7.894736842105263,27,3.67
Qwen3-4B,22.0,6,22.0,22.64,0.0,None,71,7.894736842105263,29,3.67
OlympicCoder-7B,22.0,6,22.0,22.8,0.0,None,71,7.894736842105263,36,3.67
Qwen3-14B,22.0,6,22.0,26.36,0.0,None,71,7.894736842105263,30,3.67
Llama-3.3-70B-Instruct,21.0,6,21.0,20.3,0.0,None,71,7.894736842105263,32,3.5
Mistral-Small-3.1-24B-2503,21.0,6,21.0,15.68,0.0,None,71,7.894736842105263,31,3.5
Qwen3-8B,21.0,6,21.0,21.0,0.0,None,71,7.894736842105263,33,3.5
Qwen2.5-Coder-14B-Instruct,21.0,6,21.0,13.27,0.0,None,71,7.894736842105263,35,3.5
Qwen3-14B-Non-Thinking,21.0,6,21.0,14.26,0.0,None,71,7.894736842105263,34,3.5
Qwen3-30B-Non-Thinking,21.0,6,21.0,20.71,0.0,None,71,7.894736842105263,36,3.5
Qwen3-8B-Non-Thinking,0.0,6,0.0,0.0,0.0,None,77,0.0,40,0.0
deepseek-chat,8.0,6,8.0,21.08,0.0,None,73,5.2631578947368425,37,1.33
seed-oss_0,1.0,6,1.0,3.13,0.0,None,77,0.0,38,0.17
OpenCodeReasoning-Nemotron-32B-IOI,1.0,6,1.0,10.59,0.0,None,77,0.0,47,0.17
Codestral-22B-v0.1,1.0,6,1.0,1.98,0.0,None,77,0.0,39,0.17
DeepSeek-R1-Distill-Qwen-7B,0.0,6,0.0,0.0,0.0,None,77,0.0,41,0.0
seed-oss_2048,0.0,6,0.0,2.21,0.0,None,77,0.0,42,0.0
seed-oss_1024,0.0,6,0.0,1.85,0.0,None,77,0.0,43,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,6,0.0,1.56,0.0,None,77,0.0,44,0.0
Qwen2.5-Coder-7B-Instruct,0.0,6,0.0,3.67,0.0,None,77,0.0,45,0.0
Llama-3.1-8B-Instruct,0.0,6,0.0,2.15,0.0,None,77,0.0,46,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,6,0.0,2.63,0.0,None,77,0.0,47,0.0
seed-oss_512,0.0,6,0.0,2.66,0.0,None,77,0.0,48,0.0
