Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
grok-4-fast-reasoning,75.0,5,75.0,100.0,100.0,Gold,1.0,100.0,1,100.0
gpt-5,75.0,5,75.0,100.0,100.0,Gold,1,100.0,2,100.0
gpt-o3-mini-high,75.0,5,75.0,100.0,100.0,Gold,1,100.0,3,100.0
gemini-2.5-pro,75.0,5,75.0,100.0,100.0,Gold,1,100.0,5,100.0
gpt-oss-120b-high,75.0,5,75.0,100.0,100.0,Gold,1,100.0,6,100.0
gpt-oss-20b-high,75.0,5,75.0,100.0,100.0,Gold,1,100.0,1,100.0
gpt-4.1,75.0,5,75.0,100.0,100.0,Gold,1,100.0,9,100.0
gpt-oss-120b_sp1,75.0,5,75.0,100.0,100.0,Gold,1.0,100.0,8,100.0
gpt-oss-120b-medium,75.0,5,75.0,100.0,100.0,Gold,1,100.0,7,100.0
deepseek-reasoner,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,42,20.0
gpt-oss-120b-low,75.0,5,75.0,100.0,100.0,Gold,1,100.0,4,100.0
gpt-oss-120b_sp2,75.0,5,75.0,100.0,100.0,Gold,1.0,100.0,12,100.0
deepseek-chat,75.0,5,75.0,100.0,100.0,Gold,1,100.0,8,100.0
gpt-oss-120b_sp3,66.0,5,66.0,90.5,80.0,Gold,136.0,97.83723165652034,14,88.0
gpt-oss-120b_sp4,66.0,5,66.0,90.5,80.0,Gold,136.0,97.83723165652034,15,88.0
seed-oss_8192,66.0,5,66.0,90.5,80.0,Gold,6,99.91989746876001,11,88.0
gpt-oss-20b-low,30.0,5,30.0,100.0,100.0,None,38,99.4072412688241,36,40.0
gpt-oss-20b-medium,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,38,20.0
OpenCodeReasoning-Nemotron-32B-IOI,66.0,5,66.0,94.44,80.0,Gold,136.0,97.83723165652034,19,88.0
Qwen3-14B,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,45,20.0
gemini-2.5-flash,66.0,5,66.0,90.5,80.0,Gold,6,99.91989746876001,10,88.0
Qwen3-32B,66.0,5,66.0,90.5,80.0,Gold,6,99.91989746876001,12,88.0
seed-oss_-1,63.0,5,63.0,87.0,80.0,Gold,8,99.88785645626402,13,84.0
claude-sonnet-4.5,60.0,5,60.0,100.0,100.0,Gold,620.0,90.08330663248958,24,80.0
DeepSeek-R1-Distill-Qwen-32B,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,16,76.0
Qwen2.5-Coder-32B-Instruct,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,18,76.0
Qwen3-30B,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,15,76.0
Mistral-Large-Instruct-2411,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,19,76.0
Qwen3-4B,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,20,76.0
Qwen3-8B,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,21,76.0
Qwen2.5-Coder-14B-Instruct,57.0,5,57.0,84.44,60.0,Silver,13,99.80775392502403,22,76.0
Qwen3-32B-Non-Thinking,0.0,5,0.0,0.0,0.0,None,67,98.94264658763217,47,0.0
Qwen2.5-72B,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,17,76.0
OlympicCoder-7B,57.0,5,57.0,84.94,60.0,Silver,1404.0,77.5232297340596,34,76.0
Qwen2.5-Coder-7B-Instruct,57.0,5,57.0,84.44,60.0,Silver,13,99.80775392502403,23,76.0
Qwen3-8B-Non-Thinking,57.0,5,57.0,84.94,60.0,Silver,13,99.80775392502403,14,76.0
Codestral-22B-v0.1,53.0,5,53.0,75.06,60.0,Bronze,17,99.74367190003204,25,70.67
Llama-3.3-70B-Instruct,53.0,5,53.0,78.28,60.0,Bronze,17,99.74367190003204,24,70.67
DeepSeek-R1-Distill-Qwen-14B,51.0,5,51.0,70.5,60.0,Bronze,19,99.71163088753605,26,68.0
QwQ-32B,51.0,5,51.0,72.72,60.0,Bronze,19,99.71163088753605,27,68.0
DeepSeek-Coder-V2-Lite-Instruct,51.0,5,51.0,74.44,60.0,Bronze,19,99.71163088753605,29,68.0
Qwen3-4B-Non-Thinking,51.0,5,51.0,75.94,60.0,Bronze,19,99.71163088753605,30,68.0
Llama-4-Scout,51.0,5,51.0,72.72,60.0,Bronze,19,99.71163088753605,28,68.0
DeepSeek-R1-Distill-Llama-70B,48.0,5,48.0,66.5,60.0,Bronze,22,99.66356936879205,31,64.0
Mistral-Small-3.1-24B-2503,48.0,5,48.0,68.72,60.0,Bronze,22,99.66356936879205,32,64.0
Llama-3.1-8B-Instruct,48.0,5,48.0,68.72,60.0,Bronze,22,99.66356936879205,33,64.0
Qwen3-30B-Non-Thinking,42.0,5,42.0,81.18,50.0,None,27,99.58346683755207,34,56.0
DeepSeek-R1-Distill-Llama-8B,0.0,5,0.0,0.0,0.0,None,67,98.94264658763217,48,0.0
seed-oss_2048,30.0,5,30.0,100.0,100.0,None,38,99.4072412688241,37,40.0
DeepSeek-R1-Distill-Qwen-7B,30.0,5,30.0,100.0,100.0,None,38,99.4072412688241,35,40.0
seed-oss_512,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,39,20.0
seed-oss_1024,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,40,20.0
seed-oss_16384,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,41,20.0
seed-oss_0,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,43,20.0
seed-oss_4096,15.0,5,15.0,100.0,100.0,None,52,99.18295418135213,44,20.0
Qwen3-14B-Non-Thinking,6.0,5,6.0,26.25,0.0,None,61,99.03876962512015,46,8.0
