Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,60.0,5,60.0,82.62,80.0,Gold,6,99.85380116959064,1,80.0
gemini-2.5-pro,54.0,5,54.0,74.49,60.0,Gold,10,99.73684210526316,2,72.0
gpt-oss-120b-high,52.0,5,52.0,76.13,60.0,Gold,11,99.70760233918129,3,69.33
gpt-o3-mini-high,48.0,5,48.0,65.86,60.0,Gold,14,99.61988304093568,4,64.0
gpt-oss-120b-medium,48.0,5,48.0,67.77,60.0,Gold,14,99.61988304093568,5,64.0
gpt-oss-120b_sp2,48.0,5,48.0,68.24,60.0,Gold,92,97.3391812865497,6,64.0
gpt-oss-20b-high,48.0,5,48.0,68.24,60.0,Gold,14,99.61988304093568,6,64.0
grok-4-fast-reasoning,45.0,5,45.0,64.99,40.0,Gold,136,96.05263157894737,8,60.0
gpt-oss-120b_sp3,39.0,5,39.0,52.1,40.0,Gold,221,93.5672514619883,9,52.0
gpt-oss-120b-low,39.0,5,39.0,54.24,40.0,Gold,22,99.3859649122807,7,52.0
gpt-oss-120b_sp1,39.0,5,39.0,54.24,40.0,Gold,221,93.5672514619883,11,52.0
Qwen3-32B,39.0,5,39.0,57.2,40.0,Gold,22,99.3859649122807,8,52.0
gemini-2.5-flash,38.0,5,38.0,52.36,40.0,Gold,23,99.35672514619883,9,50.67
gpt-oss-120b_sp4,37.0,5,37.0,56.69,20.0,Gold,264,92.30994152046783,14,49.33
deepseek-reasoner,36.0,5,36.0,53.85,40.0,Gold,25,99.29824561403508,10,48.0
OpenCodeReasoning-Nemotron-32B-IOI,36.0,5,36.0,51.95,40.0,Gold,298,91.3157894736842,16,48.0
deepseek-chat,35.0,5,35.0,48.54,40.0,Gold,26,99.26900584795321,11,46.67
seed-oss_16384,32.0,5,32.0,46.01,20.0,Silver,29,99.18128654970761,12,42.67
Qwen3-8B,32.0,5,32.0,45.69,20.0,Silver,29,99.18128654970761,13,42.67
gpt-oss-20b-low,30.0,5,30.0,40.61,40.0,Silver,31,99.12280701754386,14,40.0
gpt-oss-20b-medium,30.0,5,30.0,44.74,20.0,Silver,31,99.12280701754386,16,40.0
seed-oss_-1,30.0,5,30.0,46.09,20.0,Silver,31,99.12280701754386,15,40.0
Qwen3-14B,30.0,5,30.0,48.17,20.0,Silver,31,99.12280701754386,17,40.0
Qwen3-30B,30.0,5,30.0,49.28,20.0,Silver,31,99.12280701754386,18,40.0
claude-sonnet-4.5,30.0,5,30.0,48.17,20.0,Silver,523,84.73684210526316,25,40.0
Qwen3-4B,27.0,5,27.0,43.87,20.0,Silver,34,99.03508771929825,20,36.0
seed-oss_4096,26.0,5,26.0,37.55,20.0,Silver,35,99.00584795321637,21,34.67
OlympicCoder-7B,24.0,5,24.0,35.15,20.0,Silver,652,80.96491228070175,28,32.0
seed-oss_8192,24.0,5,24.0,35.41,20.0,Silver,37,98.94736842105263,22,32.0
DeepSeek-R1-Distill-Llama-70B,23.0,5,23.0,34.05,20.0,Silver,38,98.91812865497076,24,30.67
