Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
grok-4-fast-reasoning,240.0,4,240.0,76.45,75.0,Silver,41,80.58252427184466,1,60.0
gpt-o3-mini-high,240.0,4,240.0,61.45,60.0,Silver,41,80.58252427184466,2,60.0
gpt-oss-120b-high,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,3,60.0
gpt-oss-20b-high,240.0,4,240.0,60.87,60.0,Silver,41,80.58252427184466,1,60.0
gpt-5,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,4,60.0
gpt-oss-120b_sp3,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,6,60.0
gpt-oss-120b_sp2,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,7,60.0
gemini-2.5-pro,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,5,60.0
gpt-oss-120b-medium,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,6,60.0
gemini-2.5-flash,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,8,60.0
gpt-oss-20b-medium,240.0,4,240.0,61.16,60.0,Silver,41,80.58252427184466,7,60.0
seed-oss_-1,190.0,4,190.0,59.93,40.0,Bronze,55,73.7864077669903,9,47.5
gpt-oss-120b_sp1,190.0,4,190.0,59.93,40.0,Bronze,55,73.7864077669903,13,47.5
gpt-oss-120b_sp4,190.0,4,190.0,59.93,40.0,Bronze,55,73.7864077669903,14,47.5
claude-sonnet-4.5,141.0,4,141.0,60.64,50.0,Bronze,72,65.53398058252426,15,35.25
Qwen3-14B,70.0,4,70.0,24.1,20.0,None,104,50.0,19,17.5
seed-oss_8192,70.0,4,70.0,39.93,20.0,None,104,50.0,11,17.5
DeepSeek-R1-Distill-Qwen-14B,70.0,4,70.0,20.0,20.0,None,104,50.0,12,17.5
DeepSeek-R1-Distill-Llama-8B,70.0,4,70.0,20.0,20.0,None,104,50.0,13,17.5
seed-oss_1024,70.0,4,70.0,24.42,20.0,None,104,50.0,14,17.5
seed-oss_4096,70.0,4,70.0,24.42,20.0,None,104,50.0,15,17.5
gpt-oss-20b-low,70.0,4,70.0,24.42,20.0,None,104,50.0,10,17.5
DeepSeek-R1-Distill-Qwen-32B,70.0,4,70.0,20.87,20.0,None,104,50.0,16,17.5
DeepSeek-R1-Distill-Llama-70B,70.0,4,70.0,24.13,20.0,None,104,50.0,17,17.5
OlympicCoder-7B,70.0,4,70.0,24.13,20.0,None,104,50.0,25,17.5
gpt-4.1,70.0,4,70.0,24.42,20.0,None,104,50.0,18,17.5
Qwen3-32B,70.0,4,70.0,42.88,20.0,None,104,50.0,20,17.5
OpenCodeReasoning-Nemotron-32B-IOI,70.0,4,70.0,27.08,20.0,None,104,50.0,28,17.5
QwQ-32B,70.0,4,70.0,27.37,20.0,None,104,50.0,22,17.5
deepseek-reasoner,70.0,4,70.0,42.88,20.0,None,104,50.0,21,17.5
gpt-oss-120b-low,70.0,4,70.0,27.37,20.0,None,104,50.0,23,17.5
Qwen3-30B,70.0,4,70.0,27.08,20.0,None,104,50.0,25,17.5
seed-oss_512,70.0,4,70.0,24.42,20.0,None,104,50.0,27,17.5
Qwen3-4B,70.0,4,70.0,23.81,20.0,None,104,50.0,24,17.5
deepseek-chat,70.0,4,70.0,24.42,20.0,None,104,50.0,26,17.5
seed-oss_2048,70.0,4,70.0,24.42,20.0,None,104,50.0,28,17.5
Qwen3-8B,70.0,4,70.0,22.05,20.0,None,104,50.0,29,17.5
Mistral-Small-3.1-24B-2503,18.0,4,18.0,10.99,0.0,None,149,28.155339805825243,30,4.5
Llama-3.1-8B-Instruct,18.0,4,18.0,15.17,0.0,None,149,28.155339805825243,31,4.5
Qwen2.5-Coder-7B-Instruct,18.0,4,18.0,10.7,0.0,None,149,28.155339805825243,32,4.5
Qwen2.5-72B,11.0,4,11.0,11.6,0.0,None,150,27.66990291262136,36,2.75
Qwen2.5-Coder-32B-Instruct,11.0,4,11.0,11.89,0.0,None,150,27.66990291262136,38,2.75
Llama-3.3-70B-Instruct,11.0,4,11.0,13.08,0.0,None,150,27.66990291262136,40,2.75
Qwen2.5-Coder-14B-Instruct,11.0,4,11.0,11.6,0.0,None,150,27.66990291262136,41,2.75
DeepSeek-Coder-V2-Lite-Instruct,11.0,4,11.0,11.6,0.0,None,150,27.66990291262136,42,2.75
Qwen3-32B-Non-Thinking,11.0,4,11.0,11.6,0.0,None,150,27.66990291262136,34,2.75
Qwen3-4B-Non-Thinking,11.0,4,11.0,8.62,0.0,None,150,27.66990291262136,35,2.75
Qwen3-8B-Non-Thinking,11.0,4,11.0,11.6,0.0,None,150,27.66990291262136,33,2.75
Qwen3-30B-Non-Thinking,11.0,4,11.0,11.89,0.0,None,150,27.66990291262136,39,2.75
Mistral-Large-Instruct-2411,11.0,4,11.0,11.6,0.0,None,150,27.66990291262136,37,2.75
Llama-4-Scout,11.0,4,11.0,10.39,0.0,None,150,27.66990291262136,43,2.75
seed-oss_16384,0.0,4,0.0,0.0,0.0,None,163,21.359223300970875,44,0.0
seed-oss_0,0.0,4,0.0,5.62,0.0,None,163,21.359223300970875,46,0.0
Codestral-22B-v0.1,0.0,4,0.0,4.42,0.0,None,163,21.359223300970875,47,0.0
Qwen3-14B-Non-Thinking,0.0,4,0.0,0.0,0.0,None,163,21.359223300970875,45,0.0
