Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
grok-4-fast-reasoning,500.0,7,500.0,75.3,71.43,Gold,5,97.87234042553192,1,71.43
Qwen3-30B,336.0,7,336.0,44.22,37.5,Silver,37,80.85106382978724,4,48.0
gpt-oss-120b_sp4,300.0,7,300.0,37.5,37.5,Silver,46,76.06382978723404,3,42.86
gpt-oss-120b_sp3,300.0,7,300.0,37.5,37.5,Silver,46,76.06382978723404,4,42.86
gpt-oss-120b_sp2,300.0,7,300.0,37.5,37.5,Silver,46,76.06382978723404,5,42.86
gpt-oss-20b-high,300.0,7,300.0,37.5,37.5,Silver,46,76.06382978723404,7,42.86
gpt-5,300.0,7,300.0,37.5,37.5,Silver,46,76.06382978723404,6,42.86
gpt-oss-120b-high,300.0,7,300.0,37.5,37.5,Silver,46,76.06382978723404,8,42.86
claude-sonnet-4.5,236.0,7,236.0,35.03,28.57,Bronze,92,51.59574468085106,9,33.71
gemini-2.5-pro,436.0,7,436.0,59.03,50.0,Gold,14,93.08510638297872,1,62.29
gemini-2.5-flash,346.0,7,346.0,46.67,37.5,Silver,35,81.91489361702128,3,49.43
OpenCodeReasoning-Nemotron-32B-IOI,236.0,7,236.0,30.65,25.0,Bronze,92,51.59574468085106,12,33.71
gpt-o3-mini-high,370.0,7,370.0,50.2,37.5,Silver,32,83.51063829787235,2,52.86
seed-oss_-1,236.0,7,236.0,30.65,25.0,Bronze,92,51.59574468085106,12,33.71
Qwen3-32B,234.0,7,234.0,39.84,25.0,Bronze,92,51.59574468085106,13,33.43
seed-oss_4096,200.0,7,200.0,25.0,25.0,None,111,41.48936170212766,16,28.57
seed-oss_8192,200.0,7,200.0,25.71,25.0,None,111,41.48936170212766,18,28.57
gpt-oss-20b-medium,200.0,7,200.0,25.71,25.0,None,111,41.48936170212766,15,28.57
gpt-oss-20b-low,200.0,7,200.0,25.18,25.0,None,111,41.48936170212766,17,28.57
gpt-oss-120b_sp1,200.0,7,200.0,25.71,25.0,None,111,41.48936170212766,20,28.57
gpt-oss-120b-medium,200.0,7,200.0,25.71,25.0,None,111,41.48936170212766,20,28.57
gpt-oss-120b-low,200.0,7,200.0,25.36,25.0,None,111,41.48936170212766,19,28.57
Qwen3-14B,200.0,7,200.0,29.54,25.0,None,111,41.48936170212766,21,28.57
deepseek-reasoner,334.0,7,334.0,45.26,37.5,Silver,37,80.85106382978724,5,47.71
OlympicCoder-7B,200.0,7,200.0,25.54,25.0,None,111,41.48936170212766,25,28.57
gpt-4.1,258.0,7,258.0,38.98,25.0,Bronze,79,58.51063829787234,10,36.86
seed-oss_2048,141.0,7,141.0,23.61,12.5,None,140,26.06382978723404,24,20.14
deepseek-chat,236.0,7,236.0,33.22,25.0,Bronze,92,51.59574468085106,11,33.71
DeepSeek-R1-Distill-Llama-70B,234.0,7,234.0,41.2,25.0,Bronze,92,51.59574468085106,14,33.43
seed-oss_0,100.0,7,100.0,15.07,12.5,None,161,14.893617021276595,27,14.29
seed-oss_1024,100.0,7,100.0,15.33,12.5,None,161,14.893617021276595,28,14.29
Qwen3-8B,100.0,7,100.0,15.79,12.5,None,161,14.893617021276595,29,14.29
Qwen3-4B,100.0,7,100.0,15.79,12.5,None,161,14.893617021276595,30,14.29
seed-oss_512,84.0,7,84.0,12.57,0.0,None,163,13.829787234042554,31,12.0
Qwen2.5-Coder-14B-Instruct,53.0,7,53.0,13.1,0.0,None,175,7.446808510638298,33,7.57
Mistral-Small-3.1-24B-2503,53.0,7,53.0,12.98,0.0,None,175,7.446808510638298,34,7.57
Qwen3-32B-Non-Thinking,50.0,7,50.0,16.01,0.0,None,175,7.446808510638298,35,7.14
Llama-3.3-70B-Instruct,39.0,7,39.0,12.88,0.0,None,181,4.25531914893617,37,5.57
DeepSeek-Coder-V2-Lite-Instruct,39.0,7,39.0,13.0,0.0,None,181,4.25531914893617,36,5.57
Qwen3-30B-Non-Thinking,36.0,7,36.0,14.09,0.0,None,183,3.1914893617021276,38,5.14
Qwen3-14B-Non-Thinking,123.0,7,123.0,16.78,12.5,None,149,21.27659574468085,26,17.57
Codestral-22B-v0.1,130.0,7,130.0,22.85,12.5,None,146,22.872340425531913,25,18.57
Llama-3.1-8B-Instruct,30.0,7,30.0,7.25,0.0,None,184,2.6595744680851063,39,4.29
Qwen2.5-72B,19.0,7,19.0,7.66,0.0,None,184,2.6595744680851063,41,2.71
Llama-4-Scout,19.0,7,19.0,6.35,0.0,None,184,2.6595744680851063,42,2.71
Qwen3-8B-Non-Thinking,19.0,7,19.0,8.52,0.0,None,184,2.6595744680851063,43,2.71
Mistral-Large-Instruct-2411,25.0,7,25.0,12.73,0.0,None,184,2.6595744680851063,40,3.57
DeepSeek-R1-Distill-Qwen-14B,166.0,7,166.0,26.22,0.0,None,129,31.914893617021278,23,23.71
seed-oss_16384,0.0,7,0.0,0.0,0.0,None,185,2.127659574468085,44,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,7,0.0,0.0,0.0,None,185,2.127659574468085,45,0.0
DeepSeek-R1-Distill-Qwen-7B,0.0,7,0.0,0.0,0.0,None,185,2.127659574468085,46,0.0
Qwen2.5-Coder-7B-Instruct,0.0,7,0.0,4.93,0.0,None,185,2.127659574468085,47,0.0
QwQ-32B,284.0,7,284.0,37.35,25.0,Silver,61,68.08510638297872,9,40.57
DeepSeek-R1-Distill-Qwen-32B,171.0,7,171.0,25.54,12.5,None,125,34.04255319148936,22,24.43
Qwen2.5-Coder-32B-Instruct,53.0,7,53.0,12.73,0.0,None,175,7.446808510638298,32,7.57
Qwen3-4B-Non-Thinking,0.0,7,0.0,6.05,0.0,None,185,2.127659574468085,48,0.0
