Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,211.0,5,211.0,35.9,20.0,Silver,26,91.28919860627178,1,42.2
gpt-oss-120b-high,195.0,5,195.0,36.66,0.0,Silver,37,87.45644599303135,2,39.0
gemini-2.5-pro,168.0,5,168.0,30.35,0.0,Silver,48,83.62369337979094,3,33.6
grok-4-fast-reasoning,152.0,5,152.0,33.05,0.0,Bronze,81,72.12543554006969,4,30.4
gpt-oss-20b-medium,113.0,5,113.0,23.16,0.0,Bronze,93,67.94425087108014,4,22.6
claude-sonnet-4.5,110.0,5,110.0,16.01,0.0,Bronze,129,55.400696864111495,6,22.0
gpt-oss-120b_sp4,107.0,5,107.0,22.36,0.0,Bronze,132,54.35540069686411,7,21.4
gpt-oss-120b_sp2,107.0,5,107.0,24.52,0.0,Bronze,132,54.35540069686411,8,21.4
gpt-oss-120b_sp1,107.0,5,107.0,22.36,0.0,Bronze,132,54.35540069686411,9,21.4
gpt-oss-120b_sp3,95.0,5,95.0,19.89,0.0,None,158,45.29616724738676,10,19.0
gpt-oss-20b-high,93.0,5,93.0,18.78,0.0,Bronze,111,61.67247386759582,5,18.6
seed-oss_-1,92.0,5,92.0,17.71,0.0,Bronze,113,60.97560975609756,6,18.4
gpt-o3-mini-high,88.0,5,88.0,19.58,0.0,Bronze,120,58.53658536585366,7,17.6
gpt-oss-120b-medium,87.0,5,87.0,20.31,0.0,Bronze,124,57.142857142857146,8,17.4
gpt-oss-120b-low,0.0,5,0.0,7.38,0.0,None,246,14.634146341463415,45,0.0
gemini-2.5-flash,59.0,5,59.0,12.01,0.0,None,193,33.10104529616725,9,11.8
Qwen2.5-Coder-32B-Instruct,56.0,5,56.0,9.98,0.0,None,195,32.40418118466899,10,11.2
seed-oss_8192,55.0,5,55.0,10.06,0.0,None,197,31.70731707317073,11,11.0
OpenCodeReasoning-Nemotron-32B-IOI,53.0,5,53.0,12.04,0.0,None,203,29.61672473867596,19,10.6
DeepSeek-R1-Distill-Llama-70B,53.0,5,53.0,13.53,0.0,None,202,29.965156794425088,12,10.6
Qwen3-32B-Non-Thinking,50.0,5,50.0,9.82,0.0,None,207,28.222996515679444,13,10.0
QwQ-32B,50.0,5,50.0,10.63,0.0,None,207,28.222996515679444,14,10.0
deepseek-chat,50.0,5,50.0,10.84,0.0,None,207,28.222996515679444,15,10.0
seed-oss_16384,50.0,5,50.0,7.9,0.0,None,207,28.222996515679444,16,10.0
Qwen3-14B-Non-Thinking,0.0,5,0.0,0.0,0.0,None,246,14.634146341463415,42,0.0
gpt-oss-20b-low,45.0,5,45.0,7.9,0.0,None,219,24.041811846689896,17,9.0
deepseek-reasoner,45.0,5,45.0,9.52,0.0,None,219,24.041811846689896,18,9.0
Qwen2.5-Coder-14B-Instruct,45.0,5,45.0,6.63,0.0,None,219,24.041811846689896,19,9.0
Qwen3-30B,45.0,5,45.0,7.9,0.0,None,219,24.041811846689896,20,9.0
Qwen3-32B,45.0,5,45.0,7.9,0.0,None,219,24.041811846689896,21,9.0
DeepSeek-R1-Distill-Qwen-32B,45.0,5,45.0,7.41,0.0,None,219,24.041811846689896,22,9.0
Mistral-Large-Instruct-2411,34.0,5,34.0,10.14,0.0,None,229,20.557491289198605,23,6.8
Qwen3-14B,30.0,5,30.0,7.62,0.0,None,230,20.209059233449477,24,6.0
OlympicCoder-7B,30.0,5,30.0,5.29,0.0,None,236,18.118466898954704,34,6.0
Qwen3-8B,30.0,5,30.0,6.0,0.0,None,230,20.209059233449477,25,6.0
Mistral-Small-3.1-24B-2503,25.0,5,25.0,1.15,0.0,None,232,19.51219512195122,27,5.0
DeepSeek-R1-Distill-Qwen-14B,25.0,5,25.0,1.48,0.0,None,232,19.51219512195122,28,5.0
seed-oss_4096,25.0,5,25.0,2.02,0.0,None,232,19.51219512195122,29,5.0
Qwen3-4B,25.0,5,25.0,2.19,0.0,None,232,19.51219512195122,26,5.0
seed-oss_1024,25.0,5,25.0,2.02,0.0,None,232,19.51219512195122,30,5.0
