Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-oss-120b-high,355.0,10,355.0,41.64,16.67,Silver,128,77.24014336917563,1,35.5
grok-4-fast-reasoning,353.0,10,353.0,53.82,10.0,Silver,128,77.24014336917563,2,35.3
gpt-5,339.0,10,339.0,49.52,8.33,Silver,134,76.16487455197132,2,33.9
gpt-oss-120b-medium,273.0,10,273.0,27.61,16.67,Bronze,158,71.86379928315412,3,27.3
gpt-oss-120b_sp4,273.0,10,273.0,30.05,16.67,Bronze,158,71.86379928315412,5,27.3
gpt-oss-120b_sp3,242.0,10,242.0,25.98,16.67,Bronze,170,69.71326164874552,6,24.2
gpt-oss-120b_sp1,237.0,10,237.0,24.36,16.67,Bronze,172,69.35483870967742,7,23.7
seed-oss_16384,211.0,10,211.0,27.96,8.33,Bronze,183,67.38351254480287,4,21.1
gpt-oss-20b-high,194.0,10,194.0,22.93,8.33,Bronze,222,60.39426523297491,5,19.4
gemini-2.5-pro,191.0,10,191.0,34.42,0.0,Bronze,223,60.215053763440864,6,19.1
gemini-2.5-flash,185.0,10,185.0,32.79,0.0,Bronze,227,59.49820788530466,7,18.5
seed-oss_-1,174.0,10,174.0,32.62,0.0,Bronze,237,57.70609318996416,8,17.4
gpt-oss-120b_sp2,151.0,10,151.0,28.77,8.33,Bronze,250,55.376344086021504,13,15.1
OlympicCoder-7B,144.0,10,144.0,20.31,8.33,Bronze,256,54.30107526881721,14,14.4
Qwen3-30B,135.0,10,135.0,18.29,8.33,Bronze,269,51.971326164874554,9,13.5
claude-sonnet-4.5,135.0,10,135.0,36.91,0.0,Bronze,269,51.971326164874554,16,13.5
gpt-o3-mini-high,110.0,10,110.0,21.2,0.0,None,287,48.74551971326165,10,11.0
Qwen3-32B,107.0,10,107.0,23.37,0.0,None,289,48.38709677419355,11,10.7
Qwen3-8B,105.0,10,105.0,13.82,8.33,None,292,47.8494623655914,12,10.5
Codestral-22B-v0.1,100.0,10,100.0,9.48,8.33,None,304,45.69892473118279,13,10.0
DeepSeek-R1-Distill-Qwen-14B,100.0,10,100.0,11.68,8.33,None,304,45.69892473118279,14,10.0
seed-oss_8192,99.0,10,99.0,19.03,0.0,None,370,33.87096774193548,15,9.9
deepseek-reasoner,0.0,10,0.0,0.0,0.0,None,549,1.7921146953405018,39,0.0
deepseek-chat,82.0,10,82.0,12.92,0.0,None,380,32.07885304659498,16,8.2
gpt-oss-20b-medium,78.0,10,78.0,16.12,0.0,None,382,31.72043010752688,17,7.8
OpenCodeReasoning-Nemotron-32B-IOI,44.0,10,44.0,13.45,0.0,None,434,22.40143369175627,26,4.4
DeepSeek-R1-Distill-Qwen-32B,35.0,10,35.0,10.9,0.0,None,463,17.204301075268816,18,3.5
gpt-oss-120b-low,33.0,10,33.0,16.18,0.0,None,464,17.025089605734767,19,3.3
Qwen3-8B-Non-Thinking,0.0,10,0.0,0.0,0.0,None,549,1.7921146953405018,40,0.0
gpt-4.1,14.0,10,14.0,8.75,0.0,None,509,8.960573476702509,20,1.4
Qwen3-14B,10.0,10,10.0,10.39,0.0,None,519,7.168458781362007,21,1.0
Qwen2.5-72B,9.0,10,9.0,6.71,0.0,None,525,6.093189964157706,22,0.9
Mistral-Large-Instruct-2411,9.0,10,9.0,10.23,0.0,None,525,6.093189964157706,23,0.9
gpt-oss-20b-low,8.0,10,8.0,6.79,0.0,None,537,3.942652329749104,24,0.8
Qwen3-30B-Non-Thinking,7.0,10,7.0,3.02,0.0,None,539,3.5842293906810037,25,0.7
seed-oss_4096,5.0,10,5.0,3.16,0.0,None,544,2.6881720430107525,26,0.5
DeepSeek-R1-Distill-Llama-70B,5.0,10,5.0,5.94,0.0,None,544,2.6881720430107525,27,0.5
Qwen3-32B-Non-Thinking,0.0,10,0.0,0.0,0.0,None,549,1.7921146953405018,41,0.0
Qwen2.5-Coder-14B-Instruct,5.0,10,5.0,7.97,0.0,None,544,2.6881720430107525,28,0.5
QwQ-32B,5.0,10,5.0,6.39,0.0,None,544,2.6881720430107525,29,0.5
Llama-4-Scout,5.0,10,5.0,6.41,0.0,None,544,2.6881720430107525,30,0.5
DeepSeek-R1-Distill-Llama-8B,3.0,10,3.0,0.71,0.0,None,545,2.5089605734767026,31,0.3
Qwen2.5-Coder-7B-Instruct,3.0,10,3.0,2.41,0.0,None,545,2.5089605734767026,32,0.3
Llama-3.3-70B-Instruct,3.0,10,3.0,4.45,0.0,None,545,2.5089605734767026,33,0.3
seed-oss_1024,2.0,10,2.0,2.2,0.0,None,549,1.7921146953405018,34,0.2
seed-oss_2048,2.0,10,2.0,3.34,0.0,None,549,1.7921146953405018,35,0.2
seed-oss_512,2.0,10,2.0,3.59,0.0,None,549,1.7921146953405018,36,0.2
Qwen3-4B,2.0,10,2.0,4.3,0.0,None,549,1.7921146953405018,37,0.2
seed-oss_0,2.0,10,2.0,3.01,0.0,None,549,1.7921146953405018,38,0.2
DeepSeek-R1-Distill-Qwen-7B,0.0,10,0.0,0.0,0.0,None,549,1.7921146953405018,42,0.0
Qwen2.5-Coder-32B-Instruct,0.0,10,0.0,2.3,0.0,None,549,1.7921146953405018,43,0.0
Mistral-Small-3.1-24B-2503,0.0,10,0.0,1.6,0.0,None,549,1.7921146953405018,44,0.0
Qwen3-4B-Non-Thinking,0.0,10,0.0,0.86,0.0,None,549,1.7921146953405018,46,0.0
Llama-3.1-8B-Instruct,0.0,10,0.0,1.31,0.0,None,549,1.7921146953405018,45,0.0
Qwen3-14B-Non-Thinking,0.0,10,0.0,1.45,0.0,None,549,1.7921146953405018,47,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,10,0.0,2.58,0.0,None,549,1.7921146953405018,48,0.0
