Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,300.0,3,300.0,100.0,100.0,Gold,1,100.0,1,100.0
deepseek-reasoner,300.0,3,300.0,100.0,100.0,Gold,1,100.0,2,100.0
OlympicCoder-7B,300.0,3,300.0,100.0,100.0,Gold,1,100.0,3,100.0
gpt-oss-20b-high,300.0,3,300.0,100.0,100.0,Gold,1,100.0,3,100.0
gpt-oss-120b-medium,271.0,3,271.0,95.62,66.67,Gold,1,100.0,4,90.33
grok-4-fast-reasoning,264.0,3,264.0,93.68,66.67,Gold,2,98.50746268656717,6,88.0
gpt-o3-mini-high,264.0,3,264.0,93.9,66.67,Gold,2,98.50746268656717,5,88.0
gpt-oss-120b_sp1,247.0,3,247.0,94.01,66.67,Gold,2,98.50746268656717,8,82.33
gpt-oss-120b-high,246.0,3,246.0,90.14,66.67,Gold,5,94.02985074626865,6,82.0
gemini-2.5-pro,241.0,3,241.0,85.99,66.67,Gold,5,94.02985074626865,7,80.33
gpt-oss-120b_sp4,240.0,3,240.0,92.27,66.67,Gold,5,94.02985074626865,11,80.0
seed-oss_16384,229.0,3,229.0,89.73,66.67,Gold,5,94.02985074626865,8,76.33
Qwen3-32B,229.0,3,229.0,91.17,66.67,Gold,5,94.02985074626865,9,76.33
gpt-4.1,229.0,3,229.0,91.17,66.67,Gold,5,94.02985074626865,10,76.33
gemini-2.5-flash,222.0,3,222.0,88.58,66.67,Silver,9,88.05970149253731,11,74.0
gpt-oss-20b-medium,222.0,3,222.0,87.94,66.67,Silver,9,88.05970149253731,12,74.0
claude-sonnet-4.5,222.0,3,222.0,89.35,66.67,Silver,9,88.05970149253731,17,74.0
Qwen3-14B,217.0,3,217.0,80.69,66.67,Silver,10,86.56716417910448,13,72.33
seed-oss_-1,217.0,3,217.0,83.78,66.67,Silver,10,86.56716417910448,14,72.33
gpt-oss-120b_sp2,212.0,3,212.0,86.44,66.67,Silver,10,86.56716417910448,20,70.67
deepseek-chat,212.0,3,212.0,86.44,66.67,Silver,10,86.56716417910448,16,70.67
gpt-oss-120b-low,212.0,3,212.0,85.02,66.67,Silver,10,86.56716417910448,15,70.67
gpt-oss-120b_sp3,205.0,3,205.0,83.4,66.67,Silver,11,85.07462686567165,23,68.33
seed-oss_8192,200.0,3,200.0,81.02,66.67,Silver,14,80.59701492537313,18,66.67
gpt-oss-20b-low,200.0,3,200.0,80.03,66.67,Silver,14,80.59701492537313,17,66.67
Qwen3-30B,200.0,3,200.0,80.78,66.67,Silver,14,80.59701492537313,19,66.67
QwQ-32B,191.0,3,191.0,86.15,33.33,Bronze,17,76.11940298507463,20,63.67
DeepSeek-R1-Distill-Llama-70B,179.0,3,179.0,72.93,33.33,Bronze,17,76.11940298507463,22,59.67
Qwen3-8B,179.0,3,179.0,71.48,33.33,Bronze,17,76.11940298507463,21,59.67
DeepSeek-R1-Distill-Qwen-32B,143.0,3,143.0,78.15,0.0,Bronze,21,70.14925373134328,23,47.67
OpenCodeReasoning-Nemotron-32B-IOI,112.0,3,112.0,79.66,50.0,Bronze,23,67.16417910447761,31,37.33
Llama-3.3-70B-Instruct,109.0,3,109.0,74.28,0.0,Bronze,23,67.16417910447761,24,36.33
seed-oss_4096,107.0,3,107.0,48.74,33.33,Bronze,24,65.67164179104478,25,35.67
seed-oss_2048,107.0,3,107.0,49.2,33.33,Bronze,24,65.67164179104478,26,35.67
Qwen2.5-72B,107.0,3,107.0,63.09,33.33,Bronze,24,65.67164179104478,27,35.67
Mistral-Small-3.1-24B-2503,107.0,3,107.0,62.85,33.33,Bronze,24,65.67164179104478,28,35.67
Llama-4-Scout,107.0,3,107.0,55.6,33.33,Bronze,24,65.67164179104478,29,35.67
Qwen3-32B-Non-Thinking,103.0,3,103.0,58.25,0.0,Bronze,25,64.17910447761194,30,34.33
Qwen3-4B-Non-Thinking,100.0,3,100.0,35.48,33.33,Bronze,25,64.17910447761194,31,33.33
DeepSeek-R1-Distill-Qwen-14B,91.0,3,91.0,55.85,0.0,Bronze,28,59.701492537313435,32,30.33
seed-oss_512,87.0,3,87.0,52.49,0.0,Bronze,28,59.701492537313435,33,29.0
Mistral-Large-Instruct-2411,59.0,3,59.0,55.09,0.0,Bronze,32,53.73134328358209,34,19.67
Qwen3-14B-Non-Thinking,59.0,3,59.0,40.74,0.0,Bronze,32,53.73134328358209,35,19.67
Qwen2.5-Coder-14B-Instruct,59.0,3,59.0,42.1,0.0,Bronze,32,53.73134328358209,36,19.67
Qwen3-8B-Non-Thinking,44.0,3,44.0,28.31,0.0,None,38,44.776119402985074,37,14.67
Qwen3-4B,42.0,3,42.0,47.94,0.0,None,39,43.28358208955224,38,14.0
DeepSeek-Coder-V2-Lite-Instruct,37.0,3,37.0,14.71,0.0,None,40,41.791044776119406,39,12.33
