Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,566.0,7,513.0,79.45,50.0,Gold,34,92.12410501193317,1,73.29
gpt-oss-120b-high,548.0,7,495.0,77.39,50.0,Silver,46,89.26014319809069,2,70.71
grok-4-fast-reasoning,460.0,7,460.0,71.95,42.86,Silver,59,86.15751789976133,3,65.71
gpt-oss-120b_sp4,432.0,7,379.0,59.6,37.5,Bronze,141,66.5871121718377,4,54.14
gpt-oss-20b-high,409.0,7,356.0,77.27,50.0,None,166,60.62052505966587,3,50.86
gemini-2.5-pro,352.0,7,316.0,58.54,25.0,None,213,49.40334128878282,4,45.14
gpt-oss-120b-medium,366.0,7,313.0,51.23,25.0,None,216,48.68735083532219,5,44.71
gpt-oss-120b_sp3,366.0,7,313.0,52.17,25.0,None,216,48.68735083532219,8,44.71
gpt-oss-120b_sp2,362.0,7,309.0,52.62,25.0,None,221,47.49403341288783,9,44.14
claude-sonnet-4.5,307.0,7,307.0,71.55,0.0,None,226,46.30071599045346,10,43.86
gpt-oss-120b_sp1,352.0,7,299.0,49.6,25.0,None,234,44.39140811455847,11,42.71
gpt-o3-mini-high,336.0,7,283.0,54.58,25.0,None,251,40.334128878281625,6,40.43
gemini-2.5-flash,316.0,7,280.0,53.34,25.0,None,256,39.140811455847256,7,40.0
seed-oss_16384,311.0,7,258.0,52.37,25.0,None,281,33.17422434367542,8,36.86
gpt-oss-20b-medium,309.0,7,256.0,44.64,25.0,None,283,32.69689737470167,9,36.57
Qwen3-32B,252.0,7,199.0,43.88,0.0,None,326,22.43436754176611,10,28.43
seed-oss_-1,224.0,7,188.0,37.99,12.5,None,333,20.763723150357997,11,26.86
gpt-oss-120b-low,227.0,7,174.0,38.17,12.5,None,346,17.66109785202864,12,24.86
gpt-4.1,201.0,7,165.0,36.52,0.0,None,351,16.46778042959427,13,23.57
Qwen3-14B,196.0,7,143.0,37.77,0.0,None,363,13.60381861575179,14,20.43
deepseek-reasoner,195.0,7,142.0,36.53,0.0,None,364,13.365155131264917,15,20.29
Codestral-22B-v0.1,160.0,7,142.0,25.0,12.5,None,364,13.365155131264917,16,20.29
deepseek-chat,144.0,7,108.0,29.19,0.0,None,393,6.443914081145585,17,15.43
OpenCodeReasoning-Nemotron-32B-IOI,134.0,7,81.0,30.51,0.0,None,409,2.6252983293556085,24,11.57
seed-oss_8192,117.0,7,81.0,25.93,0.0,None,409,2.6252983293556085,18,11.57
Qwen3-8B,127.0,7,74.0,28.08,0.0,None,414,1.431980906921241,19,10.57
gpt-oss-20b-low,116.0,7,63.0,28.3,0.0,None,416,0.954653937947494,20,9.0
Qwen3-30B,113.0,7,60.0,25.81,0.0,None,416,0.954653937947494,21,8.57
DeepSeek-R1-Distill-Llama-70B,109.0,7,56.0,26.79,0.0,None,416,0.954653937947494,22,8.0
OlympicCoder-7B,96.0,7,43.0,20.95,0.0,None,419,0.2386634844868735,30,6.14
seed-oss_4096,75.0,7,43.0,21.07,0.0,None,419,0.2386634844868735,23,6.14
Mistral-Small-3.1-24B-2503,78.0,7,42.0,17.66,0.0,None,419,0.2386634844868735,24,6.0
Qwen2.5-Coder-14B-Instruct,78.0,7,42.0,18.97,0.0,None,419,0.2386634844868735,25,6.0
Llama-4-Scout,42.0,7,42.0,11.11,0.0,None,419,0.2386634844868735,26,6.0
Llama-3.3-70B-Instruct,66.0,7,30.0,15.54,0.0,None,419,0.2386634844868735,28,4.29
Qwen3-4B,65.0,7,12.0,18.37,0.0,None,420,0.0,31,1.71
seed-oss_2048,48.0,7,12.0,11.25,0.0,None,420,0.0,32,1.71
Qwen2.5-72B,30.0,7,12.0,5.87,0.0,None,420,0.0,38,1.71
seed-oss_0,46.0,7,12.0,9.44,0.0,None,420,0.0,33,1.71
Qwen3-30B-Non-Thinking,48.0,7,12.0,10.78,0.0,None,420,0.0,35,1.71
Mistral-Large-Instruct-2411,20.0,7,12.0,4.49,0.0,None,420,0.0,34,1.71
DeepSeek-Coder-V2-Lite-Instruct,30.0,7,12.0,4.85,0.0,None,420,0.0,37,1.71
Qwen3-14B-Non-Thinking,53.0,7,0.0,12.96,0.0,None,420,0.0,40,0.0
QwQ-32B,90.0,7,37.0,23.23,0.0,None,419,0.2386634844868735,27,5.29
Qwen3-32B-Non-Thinking,53.0,7,0.0,13.14,0.0,None,420,0.0,39,0.0
DeepSeek-R1-Distill-Qwen-14B,49.0,7,13.0,9.95,0.0,None,420,0.0,30,1.86
Qwen3-4B-Non-Thinking,36.0,7,0.0,9.55,0.0,None,420,0.0,42,0.0
Qwen3-8B-Non-Thinking,36.0,7,0.0,7.74,0.0,None,420,0.0,43,0.0
Llama-3.1-8B-Instruct,33.0,7,0.0,7.77,0.0,None,420,0.0,41,0.0
DeepSeek-R1-Distill-Qwen-32B,48.0,7,12.0,17.75,0.0,None,420,0.0,36,1.71
Qwen2.5-Coder-32B-Instruct,41.0,7,23.0,7.28,0.0,None,419,0.2386634844868735,29,3.29
seed-oss_1024,18.0,7,0.0,3.69,0.0,None,420,0.0,44,0.0
seed-oss_512,8.0,7,0.0,2.72,0.0,None,420,0.0,45,0.0
DeepSeek-R1-Distill-Qwen-7B,0.0,7,0.0,0.0,0.0,None,420,0.0,46,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,7,0.0,0.0,0.0,None,420,0.0,47,0.0
Qwen2.5-Coder-7B-Instruct,0.0,7,0.0,1.78,0.0,None,420,0.0,48,0.0
