Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,762.0,8,762.0,87.87,77.78,Gold,15,98.80239520958084,1,95.25
seed-oss_16384,658.0,8,658.0,78.17,66.67,Gold,59,95.03849443969204,3,82.25
gpt-oss-120b-high,680.0,8,680.0,80.32,66.67,Gold,49,95.89392643284859,2,85.0
gpt-oss-120b-medium,657.0,8,657.0,78.85,66.67,Gold,59,95.03849443969204,4,82.12
gemini-2.5-pro,657.0,8,657.0,79.31,66.67,Gold,59,95.03849443969204,5,82.12
gpt-oss-120b_sp1,551.0,8,551.0,64.51,55.56,Silver,248,78.87082976903336,6,68.88
gpt-oss-120b_sp2,533.0,8,533.0,65.29,55.56,Silver,290,75.27801539777587,7,66.62
gpt-oss-20b-high,621.0,8,621.0,77.21,66.67,Silver,96,91.87339606501283,6,77.62
gpt-oss-120b_sp3,519.0,8,519.0,61.51,55.56,Bronze,330,71.8562874251497,9,64.88
gpt-o3-mini-high,569.0,8,569.0,74.66,44.44,Silver,200,82.97690333618478,8,71.12
seed-oss_-1,579.0,8,579.0,77.64,44.44,Silver,175,85.11548331907613,7,72.38
seed-oss_8192,471.0,8,471.0,67.99,33.33,Bronze,426,63.64414029084688,11,58.88
gemini-2.5-flash,538.0,8,538.0,76.8,33.33,Silver,271,76.90333618477331,10,67.25
Qwen3-32B,460.0,8,460.0,69.16,22.22,Bronze,433,63.045337895637296,12,57.5
grok-4-fast-reasoning,455.0,8,455.0,76.6,42.86,Bronze,437,62.703165098374676,15,56.88
gpt-oss-20b-medium,546.0,8,546.0,65.93,55.56,Silver,255,78.27202737382378,9,68.25
Qwen3-30B,397.0,8,397.0,67.57,22.22,Bronze,501,57.2284003421728,15,49.62
gpt-oss-120b-low,455.0,8,455.0,60.2,33.33,Bronze,437,62.703165098374676,13,56.88
Qwen3-14B,379.0,8,379.0,62.9,22.22,Bronze,508,56.629597946963216,17,47.38
gpt-oss-120b_sp4,369.0,8,369.0,50.01,33.33,Bronze,517,55.859709153122324,20,46.12
deepseek-reasoner,423.0,8,423.0,63.24,22.22,Bronze,469,59.96578272027374,14,52.88
claude-sonnet-4.5,348.0,8,348.0,65.12,25.0,Bronze,523,55.3464499572284,22,43.5
Qwen3-8B,397.0,8,397.0,66.62,22.22,Bronze,501,57.2284003421728,16,49.62
DeepSeek-R1-Distill-Qwen-32B,314.0,8,314.0,53.81,11.11,Bronze,542,53.72112917023097,19,39.25
QwQ-32B,313.0,8,313.0,54.62,22.22,Bronze,542,53.72112917023097,20,39.12
gpt-oss-20b-low,375.0,8,375.0,51.19,22.22,Bronze,512,56.287425149700596,18,46.88
