Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-oss-120b-high,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,48,USACO,2023,combined,USACO-2023-January_Contest-combined
gemini-2.5-pro,2390.0,9,7,1,77.77777777777779,79.74641307974642,Gold,1000.0,390.0,1000.0,1,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-o3-mini-high,2390.0,9,7,1,77.77777777777779,79.74641307974642,Gold,1000.0,390.0,1000.0,2,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-120b_sp4,2295.0,9,6,2,66.66666666666666,76.57657657657657,Gold,1000.0,390.0,905.0,4,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-120b-medium,2200.0,9,6,2,66.66666666666666,73.40674007340674,Gold,1000.0,390.0,810.0,3,USACO,2023,combined,USACO-2023-January_Contest-combined
grok-4-fast-reasoning,2200.0,9,5,3,55.55555555555556,73.40674007340674,Gold,667.0,628.0,905.0,6,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-5,2090.0,9,6,2,66.66666666666666,69.73640306973641,Bronze,1000.0,390.0,700.0,4,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-20b-high,2057.0,9,6,1,66.66666666666666,68.6353019686353,Bronze,1000.0,390.0,667.0,5,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-120b_sp2,2057.0,9,6,1,66.66666666666666,68.6353019686353,Bronze,1000.0,390.0,667.0,9,USACO,2023,combined,USACO-2023-January_Contest-combined
gemini-2.5-flash,2034.0,9,5,3,55.55555555555556,67.86786786786787,Bronze,1000.0,353.0,681.0,6,USACO,2023,combined,USACO-2023-January_Contest-combined
seed-oss_-1,1900.0,9,5,3,55.55555555555556,63.39673006339673,Bronze,1000.0,390.0,510.0,7,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-120b_sp1,1824.0,9,5,2,55.55555555555556,60.86086086086087,Bronze,1000.0,390.0,434.0,12,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-120b_sp3,1662.0,9,4,3,44.44444444444444,55.45545545545546,Bronze,1000.0,390.0,272.0,13,USACO,2023,combined,USACO-2023-January_Contest-combined
claude-sonnet-4.5,1640.0,9,4,4,44.44444444444444,54.72138805472139,Bronze,1000.0,390.0,250.0,14,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-20b-medium,1601.0,9,4,3,44.44444444444444,53.42008675342008,Bronze,1000.0,390.0,211.0,8,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-20b-low,1571.0,9,4,3,44.44444444444444,52.41908575241908,Bronze,1000.0,390.0,181.0,9,USACO,2023,combined,USACO-2023-January_Contest-combined
deepseek-reasoner,1571.0,9,4,3,44.44444444444444,52.41908575241908,Bronze,1000.0,390.0,181.0,10,USACO,2023,combined,USACO-2023-January_Contest-combined
seed-oss_16384,1567.0,9,4,3,44.44444444444444,52.28561895228562,Bronze,1000.0,390.0,177.0,11,USACO,2023,combined,USACO-2023-January_Contest-combined
QwQ-32B,1471.0,9,4,3,44.44444444444444,49.082415749082415,Bronze,1000.0,414.0,57.0,12,USACO,2023,combined,USACO-2023-January_Contest-combined
deepseek-chat,1333.0,9,3,3,33.33333333333333,44.47781114447781,Bronze,1000.0,295.0,38.0,16,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-32B,1391.0,9,4,1,44.44444444444444,46.413079746413075,Bronze,1000.0,390.0,1.0,13,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-oss-120b-low,1391.0,9,4,1,44.44444444444444,46.413079746413075,Bronze,1000.0,390.0,1.0,14,USACO,2023,combined,USACO-2023-January_Contest-combined
gpt-4.1,1380.0,9,3,4,33.33333333333333,46.046046046046044,Bronze,1000.0,342.0,38.0,15,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-14B,1309.0,9,3,3,33.33333333333333,43.67701034367701,Bronze,1000.0,271.0,38.0,17,USACO,2023,combined,USACO-2023-January_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1272.0,9,3,3,33.33333333333333,42.44244244244244,Bronze,1000.0,271.0,1.0,25,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-30B,1238.0,9,3,3,33.33333333333333,41.30797464130798,Bronze,1000.0,200.0,38.0,18,USACO,2023,combined,USACO-2023-January_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1216.0,9,3,1,33.33333333333333,40.57390724057391,Bronze,1000.0,215.0,1.0,19,USACO,2023,combined,USACO-2023-January_Contest-combined
DeepSeek-R1-Distill-Llama-70B,1188.0,9,3,4,33.33333333333333,39.63963963963964,None,689.0,461.0,38.0,20,USACO,2023,combined,USACO-2023-January_Contest-combined
seed-oss_8192,1130.0,9,3,3,33.33333333333333,37.70437103770437,Bronze,1000.0,81.0,49.0,21,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-8B,1095.0,9,3,2,33.33333333333333,36.53653653653654,Bronze,1000.0,57.0,38.0,22,USACO,2023,combined,USACO-2023-January_Contest-combined
Llama-4-Scout,1094.0,9,2,4,22.22222222222222,36.50316983650317,Bronze,911.0,163.0,20.0,23,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-4B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,46,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-30B-Non-Thinking,842.0,9,1,4,11.11111111111111,28.09476142809476,None,678.0,163.0,1.0,25,USACO,2023,combined,USACO-2023-January_Contest-combined
seed-oss_4096,910.0,9,2,2,22.22222222222222,30.363697030363696,Bronze,889.0,20.0,1.0,24,USACO,2023,combined,USACO-2023-January_Contest-combined
OlympicCoder-7B,795.0,9,2,2,22.22222222222222,26.526526526526528,Bronze,756.0,38.0,1.0,35,USACO,2023,combined,USACO-2023-January_Contest-combined
Qwen3-14B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,42,USACO,2023,combined,USACO-2023-January_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,740.0,9,2,1,22.22222222222222,24.691358024691358,None,667.0,72.0,1.0,26,USACO,2023,combined,USACO-2023-January_Contest-combined
seed-oss_2048,725.0,9,2,1,22.22222222222222,24.190857524190857,None,667.0,57.0,1.0,27,USACO,2023,combined,USACO-2023-January_Contest-combined
