Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
grok-4-fast-reasoning,2128.0,9,6,2,66.66666666666666,71.00433767100434,Silver,667.0,1000.0,461.0,1,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-5,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,1,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-20b-high,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,2,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-120b_sp2,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,4,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-120b_sp3,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,5,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-120b-high,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,3,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-120b-medium,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,4,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-120b_sp1,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,8,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gemini-2.5-pro,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,5,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-o3-mini-high,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,6,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-20b-medium,2084.0,9,6,1,66.66666666666666,69.5362028695362,Silver,667.0,1000.0,417.0,7,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-120b_sp4,2001.0,9,6,0,66.66666666666666,66.76676676676678,Silver,667.0,1000.0,334.0,12,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-120b-low,2001.0,9,6,0,66.66666666666666,66.76676676676678,Silver,667.0,1000.0,334.0,8,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
seed-oss_-1,1799.0,9,5,2,55.55555555555556,60.0266933600267,Silver,667.0,1000.0,132.0,9,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
seed-oss_16384,1751.0,9,5,1,55.55555555555556,58.4250917584251,Silver,667.0,1000.0,84.0,10,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gemini-2.5-flash,1735.0,9,5,1,55.55555555555556,57.89122455789123,None,667.0,734.0,334.0,11,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-oss-20b-low,1668.0,9,5,0,55.55555555555556,55.65565565565566,Silver,667.0,1000.0,1.0,12,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
claude-sonnet-4.5,1545.0,9,3,5,33.33333333333333,51.551551551551555,Silver,330.0,860.0,355.0,18,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
seed-oss_8192,1252.0,9,3,2,33.33333333333333,41.77510844177511,None,501.0,667.0,84.0,13,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
Qwen3-32B,1169.0,9,3,1,33.33333333333333,39.00567233900567,None,501.0,667.0,1.0,14,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1082.0,9,2,2,22.22222222222222,36.10276943610277,None,501.0,580.0,1.0,21,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
deepseek-reasoner,973.0,9,2,2,22.22222222222222,32.4657991324658,None,305.0,667.0,1.0,15,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
gpt-4.1,954.0,9,2,2,22.22222222222222,31.83183183183183,None,286.0,667.0,1.0,16,USACO,2023,combined,USACO-2023-US_Open_Contest-combined
