Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,2895.0,9,8,1,88.88888888888889,96.5965965965966,Gold,1000.0,1000.0,895.0,1,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-120b-high,2702.0,9,8,1,88.88888888888889,90.15682349015682,Gold,1000.0,1000.0,702.0,2,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-120b_sp2,2702.0,9,8,1,88.88888888888889,90.15682349015682,Gold,1000.0,1000.0,702.0,3,USACO,2024,combined,USACO-2024-December_Contest-combined
gemini-2.5-pro,2572.0,9,7,2,77.77777777777779,85.81915248581915,Gold,1000.0,800.0,772.0,3,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-120b-medium,2467.0,9,7,1,77.77777777777779,82.31564898231565,Silver,1000.0,800.0,667.0,4,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_8192,2384.0,9,7,1,77.77777777777779,79.5462128795462,Silver,1000.0,1000.0,384.0,5,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-20b-high,2334.0,9,7,0,77.77777777777779,77.87787787787788,Silver,1000.0,1000.0,334.0,6,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_-1,2334.0,9,7,0,77.77777777777779,77.87787787787788,Bronze,1000.0,667.0,667.0,7,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-120b_sp4,2334.0,9,7,0,77.77777777777779,77.87787787787788,Silver,1000.0,1000.0,334.0,9,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_16384,2124.0,9,6,1,66.66666666666666,70.87087087087087,Bronze,1000.0,667.0,457.0,8,USACO,2024,combined,USACO-2024-December_Contest-combined
grok-4-fast-reasoning,2118.0,9,6,1,66.66666666666666,70.67067067067066,Gold,667.0,667.0,784.0,11,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-o3-mini-high,2118.0,9,6,2,66.66666666666666,70.67067067067066,Bronze,1000.0,667.0,451.0,9,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-120b_sp3,2117.0,9,6,2,66.66666666666666,70.6373039706373,Silver,1000.0,700.0,417.0,13,USACO,2024,combined,USACO-2024-December_Contest-combined
gemini-2.5-flash,2111.0,9,5,4,55.55555555555556,70.4371037704371,Bronze,1000.0,534.0,577.0,10,USACO,2024,combined,USACO-2024-December_Contest-combined
deepseek-reasoner,2051.0,9,6,1,66.66666666666666,68.4351017684351,Bronze,1000.0,667.0,384.0,11,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-20b-medium,2036.0,9,6,1,66.66666666666666,67.9346012679346,Bronze,1000.0,667.0,369.0,12,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-120b_sp1,2034.0,9,6,1,66.66666666666666,67.86786786786787,Silver,1000.0,700.0,334.0,17,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-120b-low,2001.0,9,6,0,66.66666666666666,66.76676676676678,Silver,667.0,1000.0,334.0,13,USACO,2024,combined,USACO-2024-December_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1887.0,9,5,3,55.55555555555556,62.96296296296296,Bronze,1000.0,667.0,220.0,19,USACO,2024,combined,USACO-2024-December_Contest-combined
claude-sonnet-4.5,1720.0,9,4,5,44.44444444444444,57.39072405739073,Bronze,1000.0,234.0,486.0,20,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_4096,1668.0,9,5,0,55.55555555555556,55.65565565565566,None,667.0,667.0,334.0,14,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-14B,1520.0,9,4,4,44.44444444444444,50.717384050717385,Bronze,1000.0,367.0,153.0,15,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-8B,1520.0,9,4,4,44.44444444444444,50.717384050717385,Bronze,1000.0,367.0,153.0,16,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_2048,1402.0,9,4,1,44.44444444444444,46.78011344678011,None,667.0,401.0,334.0,17,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-4.1,1390.0,9,3,5,33.33333333333333,46.37971304637971,Bronze,750.0,500.0,140.0,18,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-30B,1359.0,9,3,5,33.33333333333333,45.34534534534534,Bronze,700.0,401.0,258.0,19,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-32B,1308.0,9,3,6,33.33333333333333,43.64364364364364,Bronze,700.0,500.0,108.0,20,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1225.0,9,3,5,33.33333333333333,40.87420754087421,Bronze,750.0,367.0,108.0,21,USACO,2024,combined,USACO-2024-December_Contest-combined
deepseek-chat,1154.0,9,3,3,33.33333333333333,38.50517183850517,None,667.0,334.0,153.0,22,USACO,2024,combined,USACO-2024-December_Contest-combined
gpt-oss-20b-low,1137.0,9,3,3,33.33333333333333,37.93793793793794,None,667.0,367.0,103.0,23,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_1024,1102.0,9,3,2,33.33333333333333,36.7701034367701,None,667.0,101.0,334.0,24,USACO,2024,combined,USACO-2024-December_Contest-combined
QwQ-32B,1057.0,9,3,2,33.33333333333333,35.2686019352686,None,667.0,367.0,23.0,25,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_512,836.0,9,2,2,22.22222222222222,27.89456122789456,None,401.0,101.0,334.0,26,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Llama-70B,809.0,9,2,4,22.22222222222222,26.993660326993663,None,367.0,334.0,108.0,27,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,809.0,9,2,3,22.22222222222222,26.993660326993663,None,417.0,334.0,58.0,28,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-4B,759.0,9,2,3,22.22222222222222,25.325325325325327,None,334.0,367.0,58.0,29,USACO,2024,combined,USACO-2024-December_Contest-combined
Llama-3.3-70B-Instruct,393.0,9,0,5,0.0,13.113113113113112,None,301.0,34.0,58.0,30,USACO,2024,combined,USACO-2024-December_Contest-combined
OlympicCoder-7B,354.0,9,0,5,0.0,11.811811811811811,None,84.0,167.0,103.0,38,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-Coder-32B-Instruct,343.0,9,0,5,0.0,11.444778111444778,None,251.0,1.0,91.0,31,USACO,2024,combined,USACO-2024-December_Contest-combined
Llama-4-Scout,275.0,9,0,3,0.0,9.175842509175842,None,251.0,1.0,23.0,32,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-14B-Non-Thinking,227.0,9,0,3,0.0,7.574240907574241,None,168.0,1.0,58.0,33,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-30B-Non-Thinking,227.0,9,0,3,0.0,7.574240907574241,None,168.0,1.0,58.0,34,USACO,2024,combined,USACO-2024-December_Contest-combined
seed-oss_0,192.0,9,0,2,0.0,6.406406406406406,None,168.0,1.0,23.0,35,USACO,2024,combined,USACO-2024-December_Contest-combined
Mistral-Large-Instruct-2411,192.0,9,0,2,0.0,6.406406406406406,None,190.0,1.0,1.0,36,USACO,2024,combined,USACO-2024-December_Contest-combined
Codestral-22B-v0.1,191.0,9,0,3,0.0,6.373039706373039,None,134.0,34.0,23.0,37,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-72B,121.0,9,0,2,0.0,4.037370704037371,None,84.0,1.0,36.0,38,USACO,2024,combined,USACO-2024-December_Contest-combined
Llama-3.1-8B-Instruct,71.0,9,0,2,0.0,2.3690357023690356,None,34.0,1.0,36.0,39,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,71.0,9,0,2,0.0,2.3690357023690356,None,34.0,1.0,36.0,40,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-32B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,45,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-4B-Non-Thinking,60.0,9,0,2,0.0,2.002002002002002,None,1.0,1.0,58.0,41,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-Coder-7B-Instruct,58.0,9,0,2,0.0,1.9352686019352687,None,34.0,1.0,23.0,42,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen3-8B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,46,USACO,2024,combined,USACO-2024-December_Contest-combined
Qwen2.5-Coder-14B-Instruct,36.0,9,0,1,0.0,1.2012012012012012,None,34.0,1.0,1.0,43,USACO,2024,combined,USACO-2024-December_Contest-combined
Mistral-Small-3.1-24B-2503,36.0,9,0,1,0.0,1.2012012012012012,None,1.0,34.0,1.0,44,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,47,USACO,2024,combined,USACO-2024-December_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,48,USACO,2024,combined,USACO-2024-December_Contest-combined
