Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,473.0,3,1,2,33.33333333333333,47.347347347347345,Silver,473.0,1,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-120b-high,425.0,3,1,2,33.33333333333333,42.54254254254254,Silver,425.0,2,USACO,2024,platinum,USACO-2024-December_Contest-platinum
grok-4-fast-reasoning,402.0,3,1,2,33.33333333333333,40.24024024024024,Silver,402.0,3,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-20b-high,357.0,3,1,1,33.33333333333333,35.73573573573574,Silver,357.0,3,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-120b_sp2,187.0,3,0,3,0.0,18.71871871871872,None,187.0,5,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-32B,164.0,3,0,3,0.0,16.416416416416414,None,164.0,4,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-o3-mini-high,140.0,3,0,3,0.0,14.014014014014014,None,140.0,5,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_8192,140.0,3,0,3,0.0,14.014014014014014,None,140.0,6,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_16384,117.0,3,0,3,0.0,11.711711711711711,None,117.0,7,USACO,2024,platinum,USACO-2024-December_Contest-platinum
claude-sonnet-4.5,117.0,3,0,3,0.0,11.711711711711711,None,117.0,10,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_-1,117.0,3,0,3,0.0,11.711711711711711,None,117.0,8,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-4.1,96.0,3,0,2,0.0,9.60960960960961,None,96.0,9,USACO,2024,platinum,USACO-2024-December_Contest-platinum
deepseek-reasoner,96.0,3,0,2,0.0,9.60960960960961,None,96.0,10,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-14B,93.0,3,0,3,0.0,9.30930930930931,None,93.0,11,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-120b_sp4,93.0,3,0,3,0.0,9.30930930930931,None,93.0,15,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-120b_sp3,93.0,3,0,3,0.0,9.30930930930931,None,93.0,16,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-120b_sp1,92.0,3,0,2,0.0,9.20920920920921,None,92.0,17,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-14B-Non-Thinking,72.0,3,0,2,0.0,7.207207207207207,None,72.0,14,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-30B,72.0,3,0,2,0.0,7.207207207207207,None,72.0,12,USACO,2024,platinum,USACO-2024-December_Contest-platinum
deepseek-chat,72.0,3,0,2,0.0,7.207207207207207,None,72.0,13,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-30B-Non-Thinking,72.0,3,0,2,0.0,7.207207207207207,None,72.0,15,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gemini-2.5-flash,69.0,3,0,2,0.0,6.906906906906906,None,69.0,18,USACO,2024,platinum,USACO-2024-December_Contest-platinum
OpenCodeReasoning-Nemotron-32B-IOI,69.0,3,0,2,0.0,6.906906906906906,None,69.0,23,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gemini-2.5-pro,69.0,3,0,2,0.0,6.906906906906906,None,69.0,16,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-20b-low,69.0,3,0,2,0.0,6.906906906906906,None,69.0,17,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-120b-medium,45.0,3,0,2,0.0,4.504504504504505,None,45.0,21,USACO,2024,platinum,USACO-2024-December_Contest-platinum
QwQ-32B,45.0,3,0,2,0.0,4.504504504504505,None,45.0,20,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,45.0,3,0,2,0.0,4.504504504504505,None,45.0,19,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-8B,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,25,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_4096,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,22,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-120b-low,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,23,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-oss-20b-medium,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,24,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Llama-4-Scout,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,31,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_512,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,30,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-4B,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,29,USACO,2024,platinum,USACO-2024-December_Contest-platinum
OlympicCoder-7B,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,36,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-Coder-32B-Instruct,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,26,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-32B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,45,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_1024,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,28,USACO,2024,platinum,USACO-2024-December_Contest-platinum
seed-oss_2048,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,27,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Llama-3.3-70B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,33,USACO,2024,platinum,USACO-2024-December_Contest-platinum
