Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,2717.0,9,8,1,88.88888888888889,90.65732399065732,Gold,1000.0,717.0,1000.0,1,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-120b-high,2717.0,9,8,1,88.88888888888889,90.65732399065732,Gold,1000.0,717.0,1000.0,2,USACO,2024,combined,USACO-2024-February_Contest-combined
grok-4-fast-reasoning,2690.0,9,7,2,77.77777777777779,89.75642308975642,Gold,1000.0,717.0,973.0,3,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-120b_sp1,2518.0,9,7,2,77.77777777777779,84.01735068401736,Gold,1000.0,518.0,1000.0,4,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-120b_sp3,2518.0,9,7,2,77.77777777777779,84.01735068401736,Gold,1000.0,518.0,1000.0,5,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-120b_sp2,2518.0,9,7,2,77.77777777777779,84.01735068401736,Gold,1000.0,518.0,1000.0,6,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-20b-high,2501.0,9,7,1,77.77777777777779,83.45011678345011,Gold,1000.0,501.0,1000.0,3,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-120b_sp4,2408.0,9,7,2,77.77777777777779,80.34701368034702,Gold,1000.0,408.0,1000.0,8,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-120b-medium,2384.0,9,7,1,77.77777777777779,79.5462128795462,Gold,1000.0,384.0,1000.0,4,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-20b-medium,2375.0,9,6,3,66.66666666666666,79.24591257924591,Gold,1000.0,408.0,967.0,5,USACO,2024,combined,USACO-2024-February_Contest-combined
gemini-2.5-pro,2301.0,9,6,3,66.66666666666666,76.77677677677679,Bronze,1000.0,551.0,750.0,6,USACO,2024,combined,USACO-2024-February_Contest-combined
seed-oss_-1,2268.0,9,6,3,66.66666666666666,75.67567567567568,Bronze,1000.0,551.0,717.0,7,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-o3-mini-high,2218.0,9,6,3,66.66666666666666,74.00734067400734,Bronze,1000.0,518.0,700.0,8,USACO,2024,combined,USACO-2024-February_Contest-combined
gemini-2.5-flash,1956.0,9,5,3,55.55555555555556,65.26526526526526,Bronze,872.0,384.0,700.0,9,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-32B,1629.0,9,3,6,33.33333333333333,54.35435435435435,Bronze,821.0,551.0,257.0,10,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-oss-120b-low,336.0,9,1,0,11.11111111111111,11.21121121121121,None,334.0,1.0,1.0,37,USACO,2024,combined,USACO-2024-February_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1513.0,9,2,6,22.22222222222222,50.48381715048381,Bronze,949.0,252.0,312.0,17,USACO,2024,combined,USACO-2024-February_Contest-combined
seed-oss_8192,1512.0,9,3,3,33.33333333333333,50.45045045045045,Bronze,821.0,384.0,307.0,11,USACO,2024,combined,USACO-2024-February_Contest-combined
deepseek-reasoner,1408.0,9,3,5,33.33333333333333,46.98031364698031,None,667.0,518.0,223.0,12,USACO,2024,combined,USACO-2024-February_Contest-combined
claude-sonnet-4.5,1380.0,9,2,7,22.22222222222222,46.046046046046044,Bronze,872.0,285.0,223.0,20,USACO,2024,combined,USACO-2024-February_Contest-combined
gpt-4.1,1297.0,9,3,4,33.33333333333333,43.27660994327661,Bronze,795.0,118.0,384.0,13,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-8B,1246.0,9,2,4,22.22222222222222,41.57490824157491,Bronze,821.0,68.0,357.0,14,USACO,2024,combined,USACO-2024-February_Contest-combined
