Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,604.0,3,1,2,33.33333333333333,60.46046046046046,Silver,604.0,1,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-120b_sp1,319.0,3,0,3,0.0,31.931931931931935,Bronze,319.0,2,USACO,2024,platinum,USACO-2024-February_Contest-platinum
grok-4-fast-reasoning,273.0,3,0,3,0.0,27.32732732732733,Bronze,273.0,3,USACO,2024,platinum,USACO-2024-February_Contest-platinum
claude-sonnet-4.5,219.0,3,0,3,0.0,21.92192192192192,None,219.0,4,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-120b_sp3,217.0,3,0,2,0.0,21.72172172172172,None,217.0,5,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-120b_sp2,196.0,3,0,2,0.0,19.61961961961962,None,196.0,6,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-120b-medium,175.0,3,0,2,0.0,17.51751751751752,None,175.0,4,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-o3-mini-high,154.0,3,0,2,0.0,15.415415415415415,None,154.0,5,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-20b-medium,196.0,3,0,2,0.0,19.61961961961962,None,196.0,2,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-120b-high,195.0,3,0,3,0.0,19.51951951951952,None,195.0,3,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-120b_sp4,154.0,3,0,2,0.0,15.415415415415415,None,154.0,11,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-120b-low,0.0,3,0,0,0.0,0.0,None,0.0,40,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gemini-2.5-pro,133.0,3,0,2,0.0,13.313313313313312,None,133.0,6,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-20b-high,125.0,3,0,2,0.0,12.512512512512513,None,125.0,7,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-32B,116.0,3,0,2,0.0,11.611611611611613,None,116.0,9,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-4.1,116.0,3,0,2,0.0,11.611611611611613,None,116.0,8,USACO,2024,platinum,USACO-2024-February_Contest-platinum
deepseek-chat,116.0,3,0,2,0.0,11.611611611611613,None,116.0,10,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_-1,112.0,3,0,2,0.0,11.21121121121121,None,112.0,11,USACO,2024,platinum,USACO-2024-February_Contest-platinum
deepseek-reasoner,100.0,3,0,2,0.0,10.01001001001001,None,100.0,13,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gpt-oss-20b-low,100.0,3,0,2,0.0,10.01001001001001,None,100.0,12,USACO,2024,platinum,USACO-2024-February_Contest-platinum
OpenCodeReasoning-Nemotron-32B-IOI,100.0,3,0,2,0.0,10.01001001001001,None,100.0,21,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-30B,95.0,3,0,2,0.0,9.50950950950951,None,95.0,14,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Llama-3.1-8B-Instruct,92.0,3,0,2,0.0,9.20920920920921,None,92.0,15,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-8B,79.0,3,0,2,0.0,7.907907907907907,None,79.0,17,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-14B,79.0,3,0,2,0.0,7.907907907907907,None,79.0,16,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_8192,59.0,3,0,2,0.0,5.905905905905906,None,59.0,19,USACO,2024,platinum,USACO-2024-February_Contest-platinum
gemini-2.5-flash,59.0,3,0,2,0.0,5.905905905905906,None,59.0,18,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-32B-Non-Thinking,59.0,3,0,2,0.0,5.905905905905906,None,59.0,20,USACO,2024,platinum,USACO-2024-February_Contest-platinum
OlympicCoder-7B,59.0,3,0,2,0.0,5.905905905905906,None,59.0,29,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-Coder-14B-Instruct,59.0,3,0,2,0.0,5.905905905905906,None,59.0,21,USACO,2024,platinum,USACO-2024-February_Contest-platinum
QwQ-32B,59.0,3,0,2,0.0,5.905905905905906,None,59.0,23,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,59.0,3,0,2,0.0,5.905905905905906,None,59.0,22,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_2048,59.0,3,0,2,0.0,5.905905905905906,None,59.0,25,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-72B,59.0,3,0,2,0.0,5.905905905905906,None,59.0,24,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,42.0,3,0,1,0.0,4.2042042042042045,None,42.0,26,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-Coder-7B-Instruct,42.0,3,0,1,0.0,4.2042042042042045,None,42.0,27,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Llama-4-Scout,38.0,3,0,2,0.0,3.8038038038038042,None,38.0,30,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen2.5-Coder-32B-Instruct,38.0,3,0,2,0.0,3.8038038038038042,None,38.0,29,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Mistral-Large-Instruct-2411,38.0,3,0,2,0.0,3.8038038038038042,None,38.0,28,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Llama-3.3-70B-Instruct,38.0,3,0,2,0.0,3.8038038038038042,None,38.0,31,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-30B-Non-Thinking,33.0,3,0,1,0.0,3.303303303303303,None,33.0,32,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_0,21.0,3,0,1,0.0,2.1021021021021022,None,21.0,33,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Qwen-14B,21.0,3,0,1,0.0,2.1021021021021022,None,21.0,34,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Mistral-Small-3.1-24B-2503,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,37,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Codestral-22B-v0.1,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,36,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-4B,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,35,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_1024,0.0,3,0,0,0.0,0.0,None,0.0,39,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_512,0.0,3,0,0,0.0,0.0,None,0.0,38,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-4B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,42,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-14B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,41,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_4096,0.0,3,0,0,0.0,0.0,None,0.0,43,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-Coder-V2-Lite-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,44,USACO,2024,platinum,USACO-2024-February_Contest-platinum
seed-oss_16384,0.0,3,0,0,0.0,0.0,None,0.0,45,USACO,2024,platinum,USACO-2024-February_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,46,USACO,2024,platinum,USACO-2024-February_Contest-platinum
DeepSeek-R1-Distill-Llama-8B,0.0,3,0,0,0.0,0.0,None,0.0,47,USACO,2024,platinum,USACO-2024-February_Contest-platinum
