Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-oss-120b-high,3000.0,9,9,0,100.0,100.10010010010011,Gold,1000.0,1000.0,1000.0,1,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-5,3000.0,9,9,0,100.0,100.10010010010011,Gold,1000.0,1000.0,1000.0,2,USACO,2025,combined,USACO-2025-February_Contest-combined
grok-4-fast-reasoning,3000.0,9,9,0,100.0,100.10010010010011,Gold,1000.0,1000.0,1000.0,3,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-120b_sp3,2667.0,9,8,0,88.88888888888889,88.988988988989,Gold,1000.0,667.0,1000.0,4,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-120b-medium,2667.0,9,8,0,88.88888888888889,88.988988988989,Gold,1000.0,667.0,1000.0,3,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-120b_sp1,2667.0,9,8,0,88.88888888888889,88.988988988989,Gold,1000.0,667.0,1000.0,6,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-20b-high,2667.0,9,8,0,88.88888888888889,88.988988988989,Gold,1000.0,667.0,1000.0,4,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_-1,2393.0,9,7,1,77.77777777777779,79.84651317984651,Gold,1000.0,667.0,726.0,5,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-120b_sp4,2393.0,9,7,1,77.77777777777779,79.84651317984651,Gold,1000.0,667.0,726.0,9,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-120b_sp2,2354.0,9,7,1,77.77777777777779,78.5452118785452,Bronze,1000.0,667.0,687.0,10,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-120b-low,2334.0,9,7,0,77.77777777777779,77.87787787787788,Bronze,1000.0,667.0,667.0,6,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-o3-mini-high,2255.0,9,6,2,66.66666666666666,75.24190857524191,Gold,1000.0,490.0,765.0,7,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_16384,2234.0,9,6,3,66.66666666666666,74.5412078745412,Silver,1000.0,804.0,430.0,8,USACO,2025,combined,USACO-2025-February_Contest-combined
gemini-2.5-flash,2234.0,9,6,3,66.66666666666666,74.5412078745412,Silver,1000.0,804.0,430.0,9,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-20b-medium,2060.0,9,6,1,66.66666666666666,68.73540206873541,Gold,1000.0,334.0,726.0,10,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_8192,1890.0,9,5,3,55.55555555555556,63.06306306306306,Silver,1000.0,804.0,86.0,11,USACO,2025,combined,USACO-2025-February_Contest-combined
gemini-2.5-pro,1555.0,9,4,2,44.44444444444444,51.88521855188522,Bronze,1000.0,334.0,221.0,13,USACO,2025,combined,USACO-2025-February_Contest-combined
claude-sonnet-4.5,1805.0,9,4,5,44.44444444444444,60.22689356022689,Bronze,1000.0,549.0,256.0,18,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Llama-70B,91.0,9,0,1,0.0,3.0363697030363697,None,1.0,1.0,89.0,30,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-32B,1690.0,9,5,1,55.55555555555556,56.38972305638972,Bronze,1000.0,334.0,356.0,12,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-4.1,518.0,9,1,4,11.11111111111111,17.28395061728395,None,378.0,1.0,139.0,21,USACO,2025,combined,USACO-2025-February_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1560.0,9,4,2,44.44444444444444,52.052052052052055,Bronze,1000.0,471.0,89.0,22,USACO,2025,combined,USACO-2025-February_Contest-combined
deepseek-reasoner,1534.0,9,4,3,44.44444444444444,51.184517851184516,Bronze,1000.0,471.0,63.0,14,USACO,2025,combined,USACO-2025-February_Contest-combined
gpt-oss-20b-low,1484.0,9,4,2,44.44444444444444,49.516182849516184,Bronze,1000.0,334.0,150.0,15,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_4096,1298.0,9,3,4,33.33333333333333,43.30997664330998,Bronze,1000.0,257.0,41.0,16,USACO,2025,combined,USACO-2025-February_Contest-combined
OlympicCoder-7B,1050.0,9,3,2,33.33333333333333,35.03503503503504,None,697.0,334.0,19.0,26,USACO,2025,combined,USACO-2025-February_Contest-combined
deepseek-chat,1032.0,9,3,1,33.33333333333333,34.434434434434436,None,697.0,334.0,1.0,17,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-4B,1010.0,9,2,3,22.22222222222222,33.70036703370037,Bronze,819.0,168.0,23.0,18,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-8B,960.0,9,2,4,22.22222222222222,32.032032032032035,None,697.0,168.0,95.0,19,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-30B,604.0,9,1,3,11.11111111111111,20.15348682015349,None,122.0,334.0,148.0,20,USACO,2025,combined,USACO-2025-February_Contest-combined
QwQ-32B,474.0,9,1,3,11.11111111111111,15.815815815815814,None,364.0,1.0,109.0,22,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-14B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,41,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,371.0,9,1,1,11.11111111111111,12.379045712379046,None,334.0,1.0,36.0,23,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,43,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-30B-Non-Thinking,124.0,9,0,3,0.0,4.137470804137471,None,1.0,1.0,122.0,28,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-32B-Non-Thinking,244.0,9,0,3,0.0,8.141474808141474,None,31.0,168.0,45.0,25,USACO,2025,combined,USACO-2025-February_Contest-combined
Llama-4-Scout,255.0,9,0,4,0.0,8.508508508508509,None,142.0,68.0,45.0,24,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-8B-Non-Thinking,33.0,9,0,1,0.0,1.1011011011011012,None,31.0,1.0,1.0,39,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_1024,184.0,9,0,3,0.0,6.139472806139472,None,31.0,1.0,152.0,26,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_512,132.0,9,0,4,0.0,4.404404404404405,None,31.0,1.0,100.0,27,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-Coder-14B-Instruct,68.0,9,0,2,0.0,2.2689356022689355,None,31.0,1.0,36.0,35,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-14B,91.0,9,0,1,0.0,3.0363697030363697,None,1.0,1.0,89.0,29,USACO,2025,combined,USACO-2025-February_Contest-combined
Llama-3.1-8B-Instruct,38.0,9,0,1,0.0,1.2679346012679347,None,1.0,1.0,36.0,37,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_0,77.0,9,0,2,0.0,2.5692359025692357,None,31.0,1.0,45.0,31,USACO,2025,combined,USACO-2025-February_Contest-combined
Codestral-22B-v0.1,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,42,USACO,2025,combined,USACO-2025-February_Contest-combined
seed-oss_2048,77.0,9,0,2,0.0,2.5692359025692357,None,31.0,1.0,45.0,32,USACO,2025,combined,USACO-2025-February_Contest-combined
Mistral-Large-Instruct-2411,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,45,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-Coder-32B-Instruct,70.0,9,0,1,0.0,2.335669002335669,None,1.0,68.0,1.0,33,USACO,2025,combined,USACO-2025-February_Contest-combined
Llama-3.3-70B-Instruct,70.0,9,0,1,0.0,2.335669002335669,None,1.0,68.0,1.0,34,USACO,2025,combined,USACO-2025-February_Contest-combined
Mistral-Small-3.1-24B-2503,33.0,9,0,1,0.0,1.1011011011011012,None,31.0,1.0,1.0,38,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-Coder-7B-Instruct,33.0,9,0,1,0.0,1.1011011011011012,None,31.0,1.0,1.0,40,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,55.0,9,0,2,0.0,1.8351685018351684,None,31.0,1.0,23.0,36,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen3-4B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,46,USACO,2025,combined,USACO-2025-February_Contest-combined
Qwen2.5-72B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,44,USACO,2025,combined,USACO-2025-February_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,47,USACO,2025,combined,USACO-2025-February_Contest-combined
